Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Digestive system,Eosinophilic esophagitis,Eosinophilic esophagitis,N,,,235599003,27918,"Eosinophilic esophagitis, EoE, is a buildup of white blood cells (eosinophils) in the throat (esophagus). This causes chronic inflammation and leads to problems swallowing. EoE has only recently been recognized as a disease. The condition is characterized as an immune system reaction, but is more like an allergy than an autoimmune disease.  EoE appears to be more common among those who suffer from allergies and asthma as well as autoimmune conditions such as celiac disease, and mast cell disorders. Mast cells are involved in the body's allergic response system.  EoE was first described in 1993 with a report of 12 patients who had dysphagia, normal endoscopy, no acid reflux, and intraepithelial eosinophilia. The authors recognized that these patients had a distinct disease. Since then, the disease has increased in prevalence. Evidence for EoE being an autoimmune disease is limited. ",
Musculoskeletal,Myositis,Myositis,N,,,26889001,73001,"Myositis and ""inflammatory myopathy"" both mean inflammation of the muscles, which may in turn cause muscle weakness, swelling, and pain. Polymyositis, dermatomyositis, inclusion body myositis, and juvenile myositis are all specific types of myositis that are autoimmune. However, myositis and ""inflammatory myopathy"" are broad terms that means muscle inflammation, and not all forms are autoimmune, and not all individuals diagnosed with myositis or inflammatory myopathy have an autoimmune form of disease. If a cause cannot be acertained, the patient may be diagnosed with an ""idiopathic"" condition, which simply means that the cause of the inflammation has not been found; such patients could eventually be found to have an autoimmune form of the disease.",
Nervous System,Restless legs,Restless legs,Z,,,32914008,73754,"A condition that causes an unpleasant or uncomfortable sensation in the legs and an irresistible urge to move them.  Restless leg syndrome is a symptom of several autoimmune diseases, including <a href=""/Disease_Profile/rheumatoid-arthritis.aspx"">rheumatoid arthritis, <a href=""/Disease_Profile/Sj%C3%B6grens-disease.aspx"">Sjögren's disease, <a href=""/Disease_Profile/crohns-disease.aspx"">Crohn's disease</a>, and other inflammatory bowel diseases.  However, since restless leg is a relatively common condition affecting 8% of the population, the correlation with autoimmune disease might not indicate a causative relationship.",
Bladder,Chronic interstitial cystitis,Chronic interstitial cystitis,N,,,197834003,75863,"Interstitial cystitis is a chronic disorder that affects the urinary system. Common symptoms include frequent urination, urinary urgency, pelvic pain, and pain during or after sexual intercourse. These symptoms can flare and can cause different levels of discomfort in different people. Some symptomatic flares last only days, while others can affect a person for months. Environmental factors that may cause symptoms to intensify include menstruation, stress, sexual activity, exercise, and specific foods and drinks. These symptoms can affect a person's quality of life. For example, a person with interstitial cystitis may feel the urge to urinate up to 60 times a day, causing interruptions in daily activities, including sleep. 

Currently, the cause of interstitial cystitis is unknown. There are two main theories about its cause. The first is damage to the tissue lining of the bladder. This damage allows toxins to leak into the bladder, further damaging the organ. The second theory is inflammation to the bladder. Both theorized causes could be due to an autoimmune disorder, leading the immune system to attack the bladder. The variety of treatments that are currently available fail to prevent the worsening of the disease, but can help with symptom relief.",
Musculoskeletal,Palindromic rheumatism,Palindromic rheumatism,Hench-Rosenberg syndrome,,,50442003,76196,"Palindromic rheumatism is a disorder that involves episodes of joint inflammation that can affect one or many joint areas. The cause is unknown, but there is evidence that it may result from autoinflammatory processes.  The episodes can last from hours to days, and the time between episodes can range from days to months. Most individuals with the disorder experience multiple episodes per year. The episodes leave no lasting damage, and there are typically no symptoms between episodes.  Studies have shown that roughly half of all patients diagnosed with palindromic rheumatism eventually develop rheumatoid arthritis. Some researchers believe that palindromic rheumatism is simply an early symptom of rheumatoid arthritis. Treatments to manage symptoms are still under investigation. ",
Nervous System,Myasthenia gravis,Myasthenia gravis,N,,,91637004,76685,"Myasthenia gravis is a neuromuscular disorder characterized by muscle weakness and fatigue. It occurs when the antibodies block the junction between the nerve and skeletal muscles, which are responsible for voluntary body movements.",Acetylcholine receptors
Musculoskeletal,Reactive arthritis,Reiter's syndrome,S,,,67224007,78357,,
Nervous System,Autoimmune disorder of inner ear,Ménière's disease,V,,,13445001,79833,,
Skin,Dermatomyositis,Dermatomyositis,N,,,396230008,80182,Dermatomyositis is an autoimmune disease that causes symptoms in the skin and muscles.  The symptoms are variable from patient to patient.   Affected populations can be grouped into juvenile and adult dermatomyositis.  The juvenile group tends to have gastrointestinal issues as well.  ,
Musculoskeletal,Polymyositis,Polymyositis,N,,,31384009,80800,"Polymyositis is inflammation of muscle tissue, causing chronic muscle weakness in both sides of the body. This results in mobility issues, such as difficulty climbing stairs, rising from a seated position, lifting objects, etc. Polymyositis mostly affects adults ages 30 to 50s, and women are usually more often affected compared to men. This disease develops gradually, affecting both sides of the muscles closest to the trunk, such as the hips, neck, upper arms, and thighs. The risk of polymyositis increases if already diagnosed with another autoimmune disease, for example, lupus, rheumatoid arthritis, scleroderma, or Sjogren’s syndrome.",
