id,label,source,source_id
DOID:0040002,aspirin allergy,SNOMEDCT_US_2025_09_01,293586001
DOID:0040002,aspirin allergy,UMLS_CUI,C0004058
DOID:0040003,benzylpenicillin allergy,SNOMEDCT_US_2025_09_01,294499007
DOID:0040003,benzylpenicillin allergy,UMLS_CUI,C0571411
DOID:0040004,amoxicillin allergy,SNOMEDCT_US_2025_09_01,294505008
DOID:0040004,amoxicillin allergy,UMLS_CUI,C0571417
DOID:0040005,ceftriaxone allergy,SNOMEDCT_US_2025_09_01,294551009
DOID:0040005,ceftriaxone allergy,UMLS_CUI,C0571463
DOID:0040006,carbamazepine allergy,SNOMEDCT_US_2025_09_01,293867002
DOID:0040006,carbamazepine allergy,UMLS_CUI,C0570787
DOID:0040008,isoniazide allergy,ICD10CM,Z88.1
DOID:0040009,lidocaine allergy,SNOMEDCT_US_2025_09_01,293722000
DOID:0040009,lidocaine allergy,UMLS_CUI,C0570646
DOID:0040010,mepivacaine allergy,ICD10CM,Z88.4
DOID:0040011,phenobarbital allergy,SNOMEDCT_US_2025_09_01,293865005
DOID:0040011,phenobarbital allergy,UMLS_CUI,C0570785
DOID:0040012,phenytoin allergy,SNOMEDCT_US_2025_09_01,293869004
DOID:0040012,phenytoin allergy,UMLS_CUI,C0570789
DOID:0040013,ranitidine allergy,SNOMEDCT_US_2025_09_01,293653009
DOID:0040013,ranitidine allergy,UMLS_CUI,C0570577
DOID:0040015,sulfonamide allergy,SNOMEDCT_US_2025_09_01,91939003
DOID:0040015,sulfonamide allergy,UMLS_CUI,C0038757
DOID:0040018,thiopental allergy,SNOMEDCT_US_2025_09_01,293709008
DOID:0040018,thiopental allergy,UMLS_CUI,C0570633
DOID:0040019,D-mannitol allergy,SNOMEDCT_US_2025_09_01,295019008
DOID:0040019,D-mannitol allergy,UMLS_CUI,C0571922
DOID:0040020,cefotaxime allergy,SNOMEDCT_US_2025_09_01,294545004
DOID:0040020,cefotaxime allergy,UMLS_CUI,C0571457
DOID:0040021,cephalosporin allergy,SNOMEDCT_US_2025_09_01,294532003
DOID:0040021,cephalosporin allergy,UMLS_CUI,C0571444
DOID:0040022,amodiaquine allergy,SNOMEDCT_US_2025_09_01,294390007
DOID:0040022,amodiaquine allergy,UMLS_CUI,C0571303
DOID:0040023,cefaclor allergy,SNOMEDCT_US_2025_09_01,294541008
DOID:0040023,cefaclor allergy,UMLS_CUI,C0571453
DOID:0040024,ceftazidime allergy,SNOMEDCT_US_2025_09_01,294546003
DOID:0040024,ceftazidime allergy,UMLS_CUI,C0571458
DOID:0040025,cefuroxime allergy,SNOMEDCT_US_2025_09_01,294542001
DOID:0040025,cefuroxime allergy,UMLS_CUI,C0571454
DOID:0040026,chlorhexidine allergy,SNOMEDCT_US_2025_09_01,294431008
DOID:0040026,chlorhexidine allergy,UMLS_CUI,C0571344
DOID:0040027,cyclophosphamide allergy,SNOMEDCT_US_2025_09_01,293748008
DOID:0040027,cyclophosphamide allergy,UMLS_CUI,C0570670
DOID:0040028,succinylcholine allergy,SNOMEDCT_US_2025_09_01,294224007
DOID:0040028,succinylcholine allergy,UMLS_CUI,C0571140
DOID:0040029,trimethoprim allergy,SNOMEDCT_US_2025_09_01,294477004
DOID:0040029,trimethoprim allergy,UMLS_CUI,C0571390
DOID:0040030,cefixime allergy,SNOMEDCT_US_2025_09_01,294548002
DOID:0040030,cefixime allergy,UMLS_CUI,C0571460
DOID:0040031,diclofenac allergy,SNOMEDCT_US_2025_09_01,293613006
DOID:0040031,diclofenac allergy,UMLS_CUI,C0570540
DOID:0040032,carbapenem allergy,SNOMEDCT_US_2025_09_01,294531005
DOID:0040032,carbapenem allergy,UMLS_CUI,C0571443
DOID:0040033,piperacillin allergy,SNOMEDCT_US_2025_09_01,294515002
DOID:0040033,piperacillin allergy,UMLS_CUI,C0571427
DOID:0040034,rocuronium allergy,SNOMEDCT_US_2025_09_01,294233009
DOID:0040034,rocuronium allergy,UMLS_CUI,C0571149
DOID:0040035,sulfasalazine allergy,SNOMEDCT_US_2025_09_01,293663001
DOID:0040035,sulfasalazine allergy,UMLS_CUI,C0570587
DOID:0040036,tubocurarine allergy,SNOMEDCT_US_2025_09_01,294231006
DOID:0040036,tubocurarine allergy,UMLS_CUI,C0571147
DOID:0040037,aztreonam allergy,SNOMEDCT_US_2025_09_01,294565006
DOID:0040037,aztreonam allergy,UMLS_CUI,C0571476
DOID:0040046,nickel allergic contact dermatitis,ICD10CM,L23.0
DOID:0040056,chromium allergic contact dermatitis,ICD10CM,L23.0
DOID:0040057,benzoic acid allergic contact dermatitis,SNOMEDCT_US_2025_09_01,294186000
DOID:0040057,benzoic acid allergic contact dermatitis,UMLS_CUI,C0571102
DOID:0040060,ketoprofen photoallergic dermatitis,SNOMEDCT_US_2025_09_01,293621000
DOID:0040060,ketoprofen photoallergic dermatitis,UMLS_CUI,C0570547
DOID:0040065,quinidine allergy,SNOMEDCT_US_2025_09_01,294978001
DOID:0040065,quinidine allergy,UMLS_CUI,C0571881
DOID:0040066,melphalan allergy,SNOMEDCT_US_2025_09_01,293751001
DOID:0040066,melphalan allergy,UMLS_CUI,C0570673
DOID:0040067,neomycin sulfate allergic contact dermatitis,SNOMEDCT_US_2025_09_01,409640001
DOID:0040067,neomycin sulfate allergic contact dermatitis,UMLS_CUI,C1443961
DOID:0040070,co-trimoxazole allergy,SNOMEDCT_US_2025_09_01,294594004
DOID:0040070,co-trimoxazole allergy,UMLS_CUI,C0571504
DOID:0040071,sodium aurothiomalate allergy,SNOMEDCT_US_2025_09_01,294239008
DOID:0040071,sodium aurothiomalate allergy,UMLS_CUI,C0571155
DOID:0040074,formaldehyde allergic contact dermatitis,SNOMEDCT_US_2025_09_01,294426006
DOID:0040074,formaldehyde allergic contact dermatitis,UMLS_CUI,C0571339
DOID:0040076,phthalyl group allergy,SNOMEDCT_US_2025_09_01,294571000
DOID:0040076,phthalyl group allergy,UMLS_CUI,C0571482
DOID:0040078,gallamine allergy,SNOMEDCT_US_2025_09_01,294229002
DOID:0040078,gallamine allergy,UMLS_CUI,C0571145
DOID:0040091,autoimmune pancreatitis,MESH,D000081012
DOID:0040091,autoimmune pancreatitis,SNOMEDCT_US_2025_09_01,448542008
DOID:0040091,autoimmune pancreatitis,UMLS_CUI,C2609129
DOID:0040092,juvenile ankylosing spondylitis,ICD10CM,M08.1
DOID:0040092,juvenile ankylosing spondylitis,NCI,C197919
DOID:0040092,juvenile ankylosing spondylitis,SNOMEDCT_US_2025_09_01,201802002
DOID:0040092,juvenile ankylosing spondylitis,UMLS_CUI,C0409675
DOID:0040093,drug-induced lupus erythematosus,ICD10CM,M32.0
DOID:0040093,drug-induced lupus erythematosus,MESH,C000730515
DOID:0040093,drug-induced lupus erythematosus,NCI,C114354
DOID:0040093,drug-induced lupus erythematosus,ORDO,231111
DOID:0040093,drug-induced lupus erythematosus,SNOMEDCT_US_2025_09_01,80258006
DOID:0040093,drug-induced lupus erythematosus,UMLS_CUI,C0263591
DOID:0040097,autoimmune vasculitis,SNOMEDCT_US_2025_09_01,427213005
DOID:0040097,autoimmune vasculitis,UMLS_CUI,C1328843
DOID:0040098,pemphigus gestationis,ICD10CM,O26.4
