child,label,id,definition,exact_synonym,related_synonym,alternative_id,db_xref,in_subset,obo_namespace,skos_exact_match,skos_narrow_match,comment,creation_date
http://purl.obolibrary.org/obo/DOID_0040001,shrimp allergy,DOID:0040001,A crustacean allergy that has_allergic_trigger shrimp.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040002,aspirin allergy,DOID:0040002,A drug allergy that has_allergic_trigger acetylsalicylic acid.,ASA allergy | acetylsalicylic acid allergy,,,SNOMEDCT_US_2025_09_01:293586001 | UMLS_CUI:C0004058,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040003,benzylpenicillin allergy,DOID:0040003,A beta-lactam allergy that has_allergic_trigger benzylpenicillin.,benzyl penicillin allergy | penicillin G allergy,,,SNOMEDCT_US_2025_09_01:294499007 | UMLS_CUI:C0571411,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040004,amoxicillin allergy,DOID:0040004,A beta-lactam allergy that has_allergic_trigger amoxicillin.,,,,SNOMEDCT_US_2025_09_01:294505008 | UMLS_CUI:C0571417,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040005,ceftriaxone allergy,DOID:0040005,A cephalosporin allergy that has_allergic_trigger ceftriaxone.,rocephin allergy,,,SNOMEDCT_US_2025_09_01:294551009 | UMLS_CUI:C0571463,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040006,carbamazepine allergy,DOID:0040006,A drug allergy that has_allergic_trigger carbamazepine.,Tegretol allergy | carbamazepen allergy,,,SNOMEDCT_US_2025_09_01:293867002 | UMLS_CUI:C0570787,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040007,abacavir allergy,DOID:0040007,A drug allergy that has_allergic_trigger abacavir.,ABC allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040008,isoniazide allergy,DOID:0040008,A drug allergy that has_allergic_trigger isoniazide.,INH allergy | isonicotinylhydrazide allergy,,,ICD10CM:Z88.1,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040009,lidocaine allergy,DOID:0040009,A drug allergy that has_allergic_trigger lidocaine.,Lidoderm allergy | lignocaine allergy | xylocaine allergy,,,SNOMEDCT_US_2025_09_01:293722000 | UMLS_CUI:C0570646,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040010,mepivacaine allergy,DOID:0040010,A drug allergy that has_allergic_trigger mepivacaine.,Carbocaine allergy | Polocaine allergy,,,ICD10CM:Z88.4,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040011,phenobarbital allergy,DOID:0040011,A drug allergy that has_allergic_trigger phenobarbital.,Luminal allergy | phenobarbitol allergy | phenobarbitone allergy,,,SNOMEDCT_US_2025_09_01:293865005 | UMLS_CUI:C0570785,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040012,phenytoin allergy,DOID:0040012,A drug allergy that has_allergic_trigger phenytoin.,Dilantin allergy,,,SNOMEDCT_US_2025_09_01:293869004 | UMLS_CUI:C0570789,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040013,ranitidine allergy,DOID:0040013,A drug allergy that has_allergic_trigger ranitidine.,Zantac allergy,,,SNOMEDCT_US_2025_09_01:293653009 | UMLS_CUI:C0570577,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040014,corticosteroid allergy,DOID:0040014,A drug allergy that has_allergic_trigger corticosteroid.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040015,sulfonamide allergy,DOID:0040015,A drug allergy that has_allergic_trigger sulfonamide.,,,,SNOMEDCT_US_2025_09_01:91939003 | UMLS_CUI:C0038757,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040016,sulfamethoxazole allergy,DOID:0040016,A drug allergy that has_allergic_trigger sulfamethoxazole.,SMX allergy | SMZ allergy | sulphamethoxazole allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040017,suprofen allergy,DOID:0040017,A drug allergy that has_allergic_trigger suprofen.,Profenal allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040018,thiopental allergy,DOID:0040018,A drug allergy that has_allergic_trigger thiopental.,penthiobarbital allergy | pentothiobarbital allergy,,,SNOMEDCT_US_2025_09_01:293709008 | UMLS_CUI:C0570633,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040019,D-mannitol allergy,DOID:0040019,A drug allergy that has_allergic_trigger D-mannitol.,mannitol allergy,,,SNOMEDCT_US_2025_09_01:295019008 | UMLS_CUI:C0571922,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040020,cefotaxime allergy,DOID:0040020,A cephalosporin allergy that has_allergic_trigger cefotaxime.,,,,SNOMEDCT_US_2025_09_01:294545004 | UMLS_CUI:C0571457,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040021,cephalosporin allergy,DOID:0040021,A drug allergy that has_allergic_trigger cephalosporin.,,,,SNOMEDCT_US_2025_09_01:294532003 | UMLS_CUI:C0571444,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040022,amodiaquine allergy,DOID:0040022,A drug allergy that has_allergic_trigger amodiaquine.,Camoquin allergy | Flavoquine allergy,,,SNOMEDCT_US_2025_09_01:294390007 | UMLS_CUI:C0571303,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040023,cefaclor allergy,DOID:0040023,A cephalosporin allergy that has_allergic_trigger cefaclor.,Ceclor allergy | cephaclor allergy,,,SNOMEDCT_US_2025_09_01:294541008 | UMLS_CUI:C0571453,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040024,ceftazidime allergy,DOID:0040024,A cephalosporin allergy that has_allergic_trigger ceftazidime.,Fortaz allergy | Tazicef allergy,,,SNOMEDCT_US_2025_09_01:294546003 | UMLS_CUI:C0571458,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040025,cefuroxime allergy,DOID:0040025,A cephalosporin allergy that has_allergic_trigger cefuroxime.,Zinacef allergy | cephuroxime allergy,,,SNOMEDCT_US_2025_09_01:294542001 | UMLS_CUI:C0571454,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040026,chlorhexidine allergy,DOID:0040026,A drug allergy that has_allergic_trigger chlorhexidine.,,,,SNOMEDCT_US_2025_09_01:294431008 | UMLS_CUI:C0571344,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040027,cyclophosphamide allergy,DOID:0040027,A drug allergy that has_allergic_trigger cyclophosphamide.,cytophosphane allergy,,,SNOMEDCT_US_2025_09_01:293748008 | UMLS_CUI:C0570670,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040028,succinylcholine allergy,DOID:0040028,A drug allergy that has_allergic_trigger succinylcholine.,dicholine succinate allergy | succinocholine allergy | sux allergy | suxamethonium allergy,,,SNOMEDCT_US_2025_09_01:294224007 | UMLS_CUI:C0571140,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040029,trimethoprim allergy,DOID:0040029,A drug allergy that has_allergic_trigger trimethoprim.,Primsol allergy | TMP allergy | proloprim allergy,,,SNOMEDCT_US_2025_09_01:294477004 | UMLS_CUI:C0571390,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040030,cefixime allergy,DOID:0040030,A cephalosporin allergy that has_allergic_trigger cefixime.,,,,SNOMEDCT_US_2025_09_01:294548002 | UMLS_CUI:C0571460,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040031,diclofenac allergy,DOID:0040031,A drug allergy that has_allergic_trigger diclofenac.,Voltaren allergy,,,SNOMEDCT_US_2025_09_01:293613006 | UMLS_CUI:C0570540,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040032,carbapenem allergy,DOID:0040032,A drug allergy that has_allergic_trigger carbapenems.,,,,SNOMEDCT_US_2025_09_01:294531005 | UMLS_CUI:C0571443,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040033,piperacillin allergy,DOID:0040033,A beta-lactam allergy that has_allergic_trigger piperacillin.,,,,SNOMEDCT_US_2025_09_01:294515002 | UMLS_CUI:C0571427,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040034,rocuronium allergy,DOID:0040034,A drug allergy that has_allergic_trigger rocuronium.,Esmeron allergy | Zemuron allergy,,,SNOMEDCT_US_2025_09_01:294233009 | UMLS_CUI:C0571149,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
