Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Skin,Antibody,Moderate,Autoimmune,Acquired epidermolysis bullosa,Acquired epidermolysis bullosa,N,2772003,4100661,"In epidermolysis bullosa acquisita (EBA) the skin and mucus membranes are chronically inflamed and may form blisters in response to minor injury. Common areas of blistering include the hands, feet, knees, elbows, and buttocks. It can also affect the mouth, nose, and eyes.  Evidence suggests an association between EBA and inflammatory bowel diseases (IBD), such as ulcerative colitis and Crohn's disease. IBD is reported to be present in approximately 30% of EBA patients. There are two main types of EBA, non-inflammatory and non-inflammatory. The non-inflammatory type is more common and resembles the hereditary disease, epidermolysis bullosa. The inflammatory types resemble autoimmune bullous pemphigoid. Mucous Membrane EBA (MM-EBA) is a type of inflammatory EBA that affects mucous membranes. EBA is marked by the presence of autoantibodies (mainly IgG class) to type VII collagen (Col7). EBA may mimic other inflammatory blistering diseases, most often bullous pemphigoid and bullous systemic lupus erythematosus (which is also associated with anti-Col7 autoantibodies).",https://pubmed.ncbi.nlm.nih.gov/24890437/,Iranzo 2014,I,".08 to .5 cases per 1,000,000"," Incidence - cases per year, by reference in https://emedicine.medscape.com/article/1063083-overview#a6 ",0.08,0.5," 1,000,000 ", 27 , 167 , 97 , 0.0 ,,"Epidermolysis bullosa acquisita (EBA) is an acquired subepithelial blistering disease of the skin and mucous membranes mediated by IgG autoantibodies against type VII collagen (O'Toole and Woodley, 2000). Lesions occur predominantly on areas of trauma and often heal with scarring, like CP. Subepidermal blisters are formed as a result of detachment of the epidermis at the level of the sublamina densa area as demonstrated by ultrastructural studies (Figure 65.1). EBA is associated with HLA-DR2 (Gammon et al., 1988). The target antigen of EBA is type VII collagen (C-VII), which is confined to anchoring fibrils of the sublamina densa region of the skin. EBA autoantibodies react with four major epitopes within the amino-terminal non-collagenous NC1 domain of C-VII. It is hypothesized that binding of these autoantibodies may interfere with dimer formation of the C-VII molecule or may impair the association of C-VII with its ligands, laminin 5 and fibronectin. It has also been suggested that complement activation by the autoantibodies induces inflammation and blistering. Rabbit anti-human type VII collagen NC1 domain IgG induced EBA-like lesions in adult hairless mice and nude mice bearing human skin grafts (Chen et al., (2004)). Furthermore, rabbit antibodies specific to a murine portion of type VII collagen induced subepidermal blistering when passively transferred into adult mice, thereby reproducing the clinical, histological, and immunopathological features of human disease in a complement-dependent fashion (Sitaru et al., 2005).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Antibody,Moderate,Autoimmune,Acquired epidermolysis bullosa,EBA,A,2772003,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Moderate,Autoimmune,Acquired epidermolysis bullosa,Autoimmune epidermolysis bullosa,S,2772003,,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Moderate,Autoimmune,Acquired epidermolysis bullosa,Epidermolysis bullosa acquisita,S,2772003,,,,,,,,,,,0,0,0, -   ,,,
Blood,Antibody,Moderate,Autoimmune,Acquired hemophilia,Acquired hemophilia,N,785308008,37203917,"Acquired Hemophilia is an autoimmune disorder in which the immune system targets and damages a type of protein in the blood necessary for clotting.  The result is spontaneous bleeding that is difficult to stop, which may occur both on the surface of the skin and internal to the body, affecting muscles and organs.  Patients also bruise easily with little trauma.  A range of triggers can cause severe bleeding episodes, including physical activity, surgery, and giving birth.  Bleeding may also occur with no obvious cause.  Treatments are available to control bleeding episodes.  Without medical care, patients are at risk of muscle death or of life-threatening bleeding complications.",https://pubmed.ncbi.nlm.nih.gov/17047148/,Collins 2007,I,".15 cases per 100,000", Incidence - cases per year ,0.15,," 100,000 ", 499.950 , 499.950 , 499.950 , 0.2 ,Factor VIII,"In addition to marking cells for ADCC or phagocytosis, autoantibodies can also cause significant pathology by functionally disturbing physiological processes. Important examples of this type of autoantibody-induced mechanism are antibodies to proteins and glycoproteins, such as to factor VIII (Zeitler et al., 2013) in acquired hemophilia or to β2-glycoprotein I, which induce thrombotic events in the antiphospholipid antibody syndrome (Giannakopoulos and Krilis, 2013) (see Chapters 51 and 34).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=Acquired+hemophilia+autoimmune&sort=date
Blood,Antibody,Moderate,Autoimmune,Acquired hemophilia,Acquired haemophilia,S,785308008,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,Acute hemorrhagic leukoencephalitis,T,72986009,4249574,,https://pubmed.ncbi.nlm.nih.gov/12391351/,Tenembaum 2002,I,".001 to .012 cases per 100,000",2% of ADEM cases. Note that these cases are included in the ADEM count ,0.0014,0.012," 100,000 ", 5 , 40 , 22 , 0.0 ,See ADEM,Subtype of Acute disseminated encephalomyelitis,https://pubmed.ncbi.nlm.nih.gov/?term=AHLE+is+a+rare+autoimmune&sort=date
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,Hurst's disease,S,72986009,4249574,,https://pubmed.ncbi.nlm.nih.gov/12391351/,Tenembaum 2002,I,".001 to .012 cases per 100,000",2% of ADEM cases. Note that these cases are included in the ADEM count ,0.0014,0.012," 100,000 ", 5 , 40 , 22 , 0.0 ,See ADEM,Subtype of Acute disseminated encephalomyelitis,https://pubmed.ncbi.nlm.nih.gov/?term=AHLE+is+a+rare+autoimmune&sort=date
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,Weston-Hurst syndrome,S,72986009,4249574,,https://pubmed.ncbi.nlm.nih.gov/12391351/,Tenembaum 2002,I,".001 to .012 cases per 100,000",2% of ADEM cases. Note that these cases are included in the ADEM count ,0.0014,0.012," 100,000 ", 5 , 40 , 22 , 0.0 ,See ADEM,Subtype of Acute disseminated encephalomyelitis,https://pubmed.ncbi.nlm.nih.gov/?term=AHLE+is+a+rare+autoimmune&sort=date
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,Acute disseminated encephalomyelitis,N,83942000,374021,"Acute disseminated encephalomyelitis (ADEM) is caused when inflammation stemming from fever or immunization damages the myelin sheaths of nerves in the brain, spinal cord, and occasionally the optic nerves, leading to abnormal nerve function.  Onset is brief but intense and occurs predominantly in children.  Patients often experience complete recovery within 6 months and do not experience relapses. The risk of developing ADEM depends on several factors, including genetics, exposure to infectious organisms, immunization exposure, and lighter skin pigmentation. ADEM can affect people of all ethnic backgrounds globally. Between 50% to 85% of ADEM cases are linked to a prior infection or vaccination, with many following a viral or bacterial infection. Nonetheless, the specific pathogen causing ADEM is often unknown.",https://link.springer.com/chapter/10.1007/978-3-030-38621-4_5,Filippi and Rocca 2020,I,".07 to .6 cases per 100,000", Incidence - cases per year ,0.07,0.6," 100,000 ", 233 ," 2,000 "," 1,117 ", 0.3 ,high-affinity autoantibodies to MBP and MOG,"However, using sensitive solution phase assays, high-affinity autoantibodies to MBP and MOG can be detected in the serum and CSF of patients with acute disseminated encephalomyelitis and MS (O'Connor et al., 2003, 2005, 2007; Zhou et al., 2006).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=ADEM+is+a+rare+autoimmune&sort=date
