source_prefix	source_id	source_name	relation	target_prefix	target_id	type	source
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	SNOMEDCT	2772003	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	omop	4100661	manual	github:KrishnaTO
ARI	0001002	Acquired hemophilia	skos:exactMatch	SNOMEDCT	785308008	manual	github:KrishnaTO
ARI	0001002	Acquired hemophilia	skos:exactMatch	omop	37203917	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	SNOMEDCT	83942000	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	omop	374021	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	DOID	639	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	DOID	4313	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	umls	C0079293	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	icd10cm	L12.3	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	mesh	D016107	manual	github:KrishnaTO
ARI	0001001	Acquired epidermolysis bullosa	skos:exactMatch	ncit	C84690	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	ncit	C34578	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	mesh	D004673	manual	github:KrishnaTO
ARI	0001003	Acute disseminated encephalomyelitis	skos:exactMatch	umls	C0014059	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	SNOMEDCT	75053002	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	omop	314381	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	DOID	13378	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	umls	C0026691	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	icd10cm	M30.3	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	icd10cm	446.1	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	mesh	D009080	manual	github:KrishnaTO
ARI	0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	ncit	C34825	manual	github:KrishnaTO
