Disease,Disease_curie,Disease_name,Disease_link
Acquired epidermolysis bullosa,DOID:0004313,epidermolysis bullosa acquisita,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_4313
EBA,,,
Autoimmune epidermolysis bullosa,,,
Epidermolysis bullosa acquisita,DOID:0004313,epidermolysis bullosa acquisita,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_4313
Acquired hemophilia,,,
Acquired haemophilia,,,
Acute hemorrhagic leukoencephalitis,DOID:0010992,acute hemorrhagic leukoencephalitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10992
Hurst's disease,,,
Weston-Hurst syndrome,DOID:0010992,acute hemorrhagic leukoencephalitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10992
Acute disseminated encephalomyelitis,DOID:0000639,acute disseminated encephalomyelitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_639
ADEM,DOID:0000639,acute disseminated encephalomyelitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_639
Nonvasculitic autoimmune inflammatory meningoencephalitis,,,
Acute febrile mucocutaneous lymph node syndrome,DOID:0013378,Kawasaki disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13378
Kawasaki syndrome,,,
Kawasaki's disease,DOID:0013378,Kawasaki disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13378
Lymph node syndrome,,,
Mucocutaneous lymph node syndrome,DOID:0013378,Kawasaki disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13378
Acute lichenoid pityriasis,,,
PLEVA,,,
Acuta guttale parapsoriasis,,,
Mucha-Habermann disease,,,
Pityriasis lichenoides et varioliformis acuta,,,
Addison's disease,DOID:0013774,Addison's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13774
Autoimmune adrenalitis,,,
Adrenal cortical hypofunction,DOID:0010493,adrenal cortical hypofunction,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10493
Adrenal Insufficiency,,,
Primary adrenal insufficiency,,,
Adult onset Still's disease,DOID:0014256,adult-onset Still's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_14256
Adult Still's disease,,,
Age related macular degeneration,DOID:0010871,age related macular degeneration,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10871
Alopecia Totalis,,,
Alopecia areata,DOID:0000986,alopecia areata,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_986
Alopecia Universalis,DOID:0050634,alopecia universalis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050634
Angiofollicular lymph node hyperplasia,DOID:0111157,Castleman disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0111157
Castleman Disease,DOID:0111157,Castleman disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0111157
Castleman's disease,,,
Ankylosing spondylitis,DOID:0007147,ankylosing spondylitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_7147
Axial spondyloarthritis,,,
Spondyloarthritis,,,
Goodpasture syndrome,DOID:0009808,Goodpasture syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9808
Goodpasture disease,,,
Anti-glomerular basement membrane nephritis,,,
Anti-glomerular basement membrane tubulointerstitial nephritis,,,
Anti-glomerular basement membrane disease,DOID:0009808,Goodpasture syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9808
Anti-GBM disease,DOID:0009808,Goodpasture syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9808
Goodpasture's disease,,,
Goodpasture's syndrome,,,
Churg-Strauss syndrome,DOID:0003049,Churg-Strauss syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3049
Granulomatosis with polyangiitis,DOID:0012132,granulomatosis with polyangiitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12132
Wegener's Granulomatosis,,,
Antineutrophil cytoplasmic antibody positive vasculitis,,,
ANCA vasculitis,,,
Eosinophilic granulomatosis with polyangiitis,,,
ANCA-associated vasculitis,,,
Anti-neutrophil cytoplasmic antibody-associated vasculitis,,,
Churg Strauss syndrome,,,
