term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Blood,,uberon:0000178,,,,prefix='uberon' identifier='0000178' name='blood',,
Skin,mondo:0002531,uberon:0000014,,,prefix='mondo' identifier='0002531' name='skin neoplasm',prefix='uberon' identifier='0000014' name='zone of skin',,
Nervous System,,uberon:0001016,,,,prefix='uberon' identifier='0001016' name='nervous system',,
Vascular system,,uberon:0007798,,,,prefix='uberon' identifier='0007798' name='vascular system',,
Systemic,,,,,,,,
Heart,,uberon:0000948,,,,prefix='uberon' identifier='0000948' name='heart',,
Glands,,uberon:0002530,,,,prefix='uberon' identifier='0002530' name='gland',,
Musculoskeletal,,,,,,,,
Digestive system,,uberon:0001007,,,,prefix='uberon' identifier='0001007' name='digestive system',,
Kidney,,uberon:0002113,,,,prefix='uberon' identifier='0002113' name='kidney',,
Liver,,uberon:0002107,,,,prefix='uberon' identifier='0002107' name='liver',,
Pancreas,mondo:0021040,uberon:0001264,,,prefix='mondo' identifier='0021040' name='pancreatic neoplasm',prefix='uberon' identifier='0001264' name='pancreas',,
Bladder,,uberon:0001255,,,,prefix='uberon' identifier='0001255' name='urinary bladder',,
Lungs,mondo:0021117,uberon:0002048,,,prefix='mondo' identifier='0021117' name='lung neoplasm',prefix='uberon' identifier='0002048' name='lung',,
Antiphospholipid syndrome,mondo:8000010,,,doid:2988,prefix='mondo' identifier='8000010' name='antiphospholipid syndrome',,,prefix='doid' identifier='2988' name='antiphospholipid syndrome'
Hidradenitis suppurativa,mondo:0006559,,,doid:2280,prefix='mondo' identifier='0006559' name='hidradenitis suppurativa',,,prefix='doid' identifier='2280' name='hidradenitis suppurativa'
Autoimmune angioedema,,,,,,,,
Warm autoimmune hemolytic anemia,mondo:0019532,,,,"prefix='mondo' identifier='0019532' name='autoimmune hemolytic anemia, warm type'",,,
Acquired epidermolysis bullosa,mondo:0018747,,,doid:4313,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,prefix='doid' identifier='4313' name='epidermolysis bullosa acquisita'
Acquired hemophilia,mondo:0019139,,,,prefix='mondo' identifier='0019139' name='acquired hemophilia',,,
Myasthenia gravis,mondo:0009688,,,doid:437,prefix='mondo' identifier='0009688' name='myasthenia gravis',,,prefix='doid' identifier='437' name='myasthenia gravis'
Pure red cell aplasia,mondo:0001705,,,doid:1340,prefix='mondo' identifier='0001705' name='pure red-cell aplasia',,,prefix='doid' identifier='1340' name='pure red-cell aplasia'
Acute lichenoid pityriasis,mondo:0024250,,,,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
Neuralgic amyotrophy,mondo:0017362,,,doid:10383,prefix='mondo' identifier='0017362' name='neuralgic amyotrophy',,,prefix='doid' identifier='10383' name='amyotrophic neuralgia'
Acute disseminated encephalomyelitis,mondo:0019383,,,doid:639,prefix='mondo' identifier='0019383' name='acute disseminated encephalomyelitis',,,prefix='doid' identifier='639' name='acute disseminated encephalomyelitis'
Acute febrile mucocutaneous lymph node syndrome,mondo:0012727,,,doid:13378,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Guillain-Barré syndrome,mondo:0016218,,,doid:12842,prefix='mondo' identifier='0016218' name='Guillain-Barre syndrome',,,prefix='doid' identifier='12842' name='Guillain-Barre syndrome'
Rheumatic fever,mondo:0017767,,,doid:1586,prefix='mondo' identifier='0017767' name='rheumatic fever',,,prefix='doid' identifier='1586' name='rheumatic fever'
Addison's disease,mondo:0015128,,,doid:13774,prefix='mondo' identifier='0015128' name='primary adrenal insufficiency',,,"prefix='doid' identifier='13774' name=""Addison's disease"""
Endometriosis,mondo:0005133,,,doid:289,prefix='mondo' identifier='0005133' name='endometriosis',,,prefix='doid' identifier='289' name='endometriosis'
Lipomatosis dolorosa,mondo:0007070,,,,prefix='mondo' identifier='0007070' name='adiposis dolorosa',,,
Celiac disease,mondo:0005130,,,doid:10608,prefix='mondo' identifier='0005130' name='celiac disease',,,prefix='doid' identifier='10608' name='celiac disease'
Ligneous conjunctivitis,mondo:0100560,,,,prefix='mondo' identifier='0100560' name='ligneous conjunctivitis',,,
Adult onset Still's disease,mondo:0019355,,,doid:14256,prefix='mondo' identifier='0019355' name='adult-onset Still disease',,,"prefix='doid' identifier='14256' name=""adult-onset Still's disease"""
Age related macular degeneration,mondo:0005150,,,doid:10871,prefix='mondo' identifier='0005150' name='age-related macular degeneration',,,prefix='doid' identifier='10871' name='age related macular degeneration'
Alopecia areata,mondo:0005340,,,doid:986,prefix='mondo' identifier='0005340' name='alopecia areata',,,prefix='doid' identifier='986' name='alopecia areata'
Complex regional pain syndrome,mondo:0019369,,,doid:3223,prefix='mondo' identifier='0019369' name='complex regional pain syndrome',,,prefix='doid' identifier='3223' name='complex regional pain syndrome'
Immunoglobulin A vasculitis,mondo:0019167,,,doid:11123,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,prefix='doid' identifier='11123' name='IgA vasculitis'
Antineutrophil cytoplasmic antibody positive vasculitis,,,,,,,,
Cold agglutinin disease,mondo:0018922,,,,prefix='mondo' identifier='0018922' name='cold agglutinin disease',,,
