ID,Parent,Disease,,
1,Acquired epidermolysis bullosa,Epidermolysis Bullosa Acquisita,doid:0004313,epidermolysis bullosa acquisita
1,Acquired epidermolysis bullosa,"Epidermolysis Bullosa, Acquired",#N/A,#N/A
1,Acquired epidermolysis bullosa,Acquired Epidermolysis Bullosa,doid:0004313,epidermolysis bullosa acquisita
1,Acquired epidermolysis bullosa,Acquired Form of Epidermolysis Bullosa,#N/A,#N/A
2,Acquired hemophilia,Acquired hemophilia,0,0
2,Acquired hemophilia,"Factor 8 deficiency, acquired",#N/A,#N/A
2,Acquired hemophilia,"Hemophilia A, acquired",#N/A,#N/A
2,Acquired hemophilia,"Factor VIII deficiency, acquired",#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalomyelitis, Acute Disseminated",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Acute Disseminated Encephalomyelitides,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Acute Disseminated Encephalomyelitis,doid:0000639,acute disseminated encephalomyelitis
3,Acute disseminated encephalomyelitis,"Disseminated Encephalomyelitis, Acute",#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalitis, Post-Vaccinal",#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalitis, Post Vaccinal",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post-Vaccinal Encephalitides,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post-Vaccinal Encephalitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post Vaccinal Encephalitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalitis, Postvaccinal",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Postvaccinal Encephalitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalitis, Vaccination",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Vaccination Encephalitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post-Vaccinal Encephalomyelitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalomyelitis, Post-Vaccinal",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post-Vaccinal Encephalomyelitides,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Post Vaccinal Encephalomyelitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,Postinfectious Encephalomyelitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalomyelitis, Postinfectious",#N/A,#N/A
3,Acute disseminated encephalomyelitis,"Encephalomyelitis, Postexanthem",#N/A,#N/A
3,Acute disseminated encephalomyelitis,Postexanthem Encephalomyelitis,#N/A,#N/A
3,Acute disseminated encephalomyelitis,ADEM,doid:0000639,acute disseminated encephalomyelitis
3,Acute disseminated encephalomyelitis,Hurst's disease,0,0
3,Acute disseminated encephalomyelitis,Weston-Hurst syndrome,doid:0010992,acute hemorrhagic leukoencephalitis
3,Acute disseminated encephalomyelitis,Nonvasculitic autoimmune inflammatory meningoencephalitis,0,0
4,Acute febrile mucocutaneous lymph node syndrome,Mucocutaneous Lymph Node Syndrome,doid:0013378,Kawasaki disease
4,Acute febrile mucocutaneous lymph node syndrome,Kawasaki Disease,#N/A,#N/A
4,Acute febrile mucocutaneous lymph node syndrome,Kawasaki Syndrome,0,0
4,Acute febrile mucocutaneous lymph node syndrome,"Lymph Node Syndrome, Mucocutaneous",#N/A,#N/A
4,Acute febrile mucocutaneous lymph node syndrome,Acute febrile mucocutaneous lymph node syndrome,doid:0013378,Kawasaki disease
5,Acute lichenoid pityriasis,Acute lichenoid pityriasis,0,0
5,Acute lichenoid pityriasis,Pityriasis Lichenoides,#N/A,#N/A
5,Acute lichenoid pityriasis,Habermann's Disease,#N/A,#N/A
5,Acute lichenoid pityriasis,"Disease, Habermann's",#N/A,#N/A
5,Acute lichenoid pityriasis,Habermanns Disease,#N/A,#N/A
5,Acute lichenoid pityriasis,Habermann Disease,#N/A,#N/A
5,Acute lichenoid pityriasis,"Disease, Habermann",#N/A,#N/A
5,Acute lichenoid pityriasis,Pityriasis Lichenoides Chronica,#N/A,#N/A
5,Acute lichenoid pityriasis,"Pityriasis Lichenoides, Chronic",#N/A,#N/A
5,Acute lichenoid pityriasis,Chronic Pityriasis Lichenoides,#N/A,#N/A
5,Acute lichenoid pityriasis,Pityriasis Lichenoides et Varioliformis Acuta,0,0
5,Acute lichenoid pityriasis,"Pityriasis Lichenoides, Acute",#N/A,#N/A
5,Acute lichenoid pityriasis,Acute Pityriasis Lichenoides,#N/A,#N/A
5,Acute lichenoid pityriasis,Mucha-Habermann Disease,0,0
5,Acute lichenoid pityriasis,"Disease, Mucha-Habermann",#N/A,#N/A
5,Acute lichenoid pityriasis,Mucha Habermann Disease,#N/A,#N/A
5,Acute lichenoid pityriasis,PLEVA,0,0
5,Acute lichenoid pityriasis,Pityriasis lichenoides et varioliformis acuta,0,0
6,Addison's disease,Addison's disease,doid:0013774,Addison's disease
6,Addison's disease,Autoimmune adrenalitis,0,0
6,Addison's disease,Adrenal cortical hypofunction,doid:0010493,adrenal cortical hypofunction
6,Addison's disease,Adrenal Insufficiency,0,0
6,Addison's disease,Primary adrenal insufficiency,0,0
7,Adult onset Still's disease,Adult onset Still's disease,doid:0014256,adult-onset Still's disease
7,Adult onset Still's disease,Adult Still's disease,0,0
8,Age related macular degeneration,Age related macular degeneration,doid:0010871,age related macular degeneration
9,Alopecia areata,Alopecia Totalis,0,0
9,Alopecia areata,Alopecia areata,doid:0000986,alopecia areata
9,Alopecia areata,Alopecia Universalis,doid:0050634,alopecia universalis
10,Angiofollicular lymph node hyperplasia,Angiofollicular lymph node hyperplasia,doid:0111157,Castleman disease
10,Angiofollicular lymph node hyperplasia,Castleman Disease,doid:0111157,Castleman disease
10,Angiofollicular lymph node hyperplasia,Castleman's disease,0,0
11,Ankylosing spondylitis,Ankylosing spondylitis,doid:0007147,ankylosing spondylitis
11,Ankylosing spondylitis,Axial spondyloarthritis,0,0
11,Ankylosing spondylitis,Spondyloarthritis,0,0
12,Anti-glomerular basement membrane disease,Goodpasture syndrome,doid:0009808,Goodpasture syndrome
12,Anti-glomerular basement membrane disease,Goodpasture disease,0,0
12,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane nephritis,0,0
12,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane tubulointerstitial nephritis,0,0
12,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane disease,doid:0009808,Goodpasture syndrome
12,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane disease,doid:0009808,Goodpasture syndrome
12,Anti-glomerular basement membrane disease,Anti-GBM disease,doid:0009808,Goodpasture syndrome
12,Anti-glomerular basement membrane disease,Goodpasture's disease,0,0
12,Anti-glomerular basement membrane disease,Goodpasture's syndrome,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,Churg-Strauss syndrome,doid:0003049,Churg-Strauss syndrome
13,Antineutrophil cytoplasmic antibody positive vasculitis,Granulomatosis with polyangiitis,doid:0012132,granulomatosis with polyangiitis
13,Antineutrophil cytoplasmic antibody positive vasculitis,Wegener's Granulomatosis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,Antineutrophil cytoplasmic antibody positive vasculitis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA vasculitis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,Eosinophilic granulomatosis with polyangiitis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA-associated vasculitis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,0,0
13,Antineutrophil cytoplasmic antibody positive vasculitis,Churg Strauss syndrome,0,0
14,Antiphospholipid syndrome,Antiphospholipid syndrome,doid:0002988,antiphospholipid syndrome
14,Antiphospholipid syndrome,aCL syndrome,0,0
14,Antiphospholipid syndrome,Anticardiolipin antibody syndrome,0,0
14,Antiphospholipid syndrome,Hughes syndrome,0,0
14,Antiphospholipid syndrome,Lupus anticoagulant syndrome,0,0
15,Antisynthetase syndrome,Antisynthetase syndrome,doid:0080744,antisynthetase syndrome
15,Antisynthetase syndrome,Anti-Jo1 syndrome,0,0
16,Aplastic anemia,Aplastic anemia,doid:0012449,aplastic anemia
17,Autoimmune angioedema,Autoimmune angioedema,0,0
17,Autoimmune angioedema,Acquired angiodema,0,0
18,Autoimmune disorder of inner ear,Ménière's disease,#N/A,#N/A
18,Autoimmune disorder of inner ear,Autoimmune disorder of inner ear,0,0
19,Autoimmune encephalitis,Autoimmune encephalitis,0,0
19,Autoimmune encephalitis,Bickerstaff's brainstem encephalitis,0,0
19,Autoimmune encephalitis,Bickerstaff encephalitis,0,0
19,Autoimmune encephalitis,Bickerstaff's encephalitis,0,0
20,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Limbic encephalitis with N-methyl-D-aspartate receptor antibodies,0,0
20,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-NMDA receptor encephalitis,0,0
20,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-N-methyl-D-aspartate receptor encephalitis,0,0
20,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,0,0
20,Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,Anti-NMDA Encephalitis,0,0
21,Autoimmune gastritis,Macrocytic Anemia,doid:0002361,macrocytic anemia
21,Autoimmune gastritis,Megaloblastic Anemia,doid:0013382,megaloblastic anemia
21,Autoimmune gastritis,Pernicious anemia,doid:0013381,pernicious anemia
21,Autoimmune gastritis,Autoimmune gastritis,doid:0040090,autoimmune gastritis
21,Autoimmune gastritis,Atrophic gastritis,doid:0008929,atrophic gastritis
21,Autoimmune gastritis,Autoimmune atrophic gastritis,0,0
21,Autoimmune gastritis,Eosinophilic gastritis,doid:0004030,eosinophilic gastritis
21,Autoimmune gastritis,Autoimmune enteropathy,0,0
22,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia,doid:0000718,autoimmune hemolytic anemia
22,Autoimmune hemolytic anemia,Autoimmune hemolytic anemia mixed type,0,0
23,Autoimmune hepatitis,Autoimmune hepatitis,doid:0002048,autoimmune hepatitis
23,Autoimmune hepatitis,Autoimmune hepatitis type 1,0,0
23,Autoimmune hepatitis,Autoimmune hepatitis type 2,0,0
23,Autoimmune hepatitis,Autoimmune hepatitis type 3,0,0
23,Autoimmune hepatitis,Chronic autoimmune hepatitis,0,0
24,Autoimmune lymphoproliferative syndrome,Autoimmune lymphoproliferative syndrome,doid:0006688,autoimmune lymphoproliferative syndrome
24,Autoimmune lymphoproliferative syndrome,Canale-Smith syndrome,doid:0006688,autoimmune lymphoproliferative syndrome
25,Autoimmune neutropenia,Autoimmune neutropenia,0,0
25,Autoimmune neutropenia,Primary autoimmune neutropenia,0,0
25,Autoimmune neutropenia,Autoimmune neutropenia of infancy,0,0
26,Autoimmune oophoritis,Autoimmune oophoritis,0,0
26,Autoimmune oophoritis,Premature ovarian failure due to autoimmune oophoritis,0,0
27,Autoimmune pancreatitis,Autoimmune pancreatitis,doid:0040091,autoimmune pancreatitis
27,Autoimmune pancreatitis,Lymphoplasmocytic sclerosing pancreatitis,0,0
27,Autoimmune pancreatitis,Nonalcoholic destructive pancreatitis,0,0
27,Autoimmune pancreatitis,Tumefactive pancreatitis,0,0
27,Autoimmune pancreatitis,Autoimmune pancreatitis type 1,0,0
27,Autoimmune pancreatitis,Autoimmune pancreatitis type 2,0,0
28,Autoimmune progesterone dermatitis,APD,0,0
28,Autoimmune progesterone dermatitis,Autoimmune progesterone dermatitis,0,0
29,Autoimmune retinopathy,Autoimmune retinopathy,0,0
30,Birdshot chorioretinopathy,Birdshot chorioretinopathy,doid:0111079,birdshot chorioretinopathy
30,Birdshot chorioretinopathy,Birdshot retinopathy,0,0
30,Birdshot chorioretinopathy,Birdshot chorioretinitis,doid:0111079,birdshot chorioretinopathy
31,Autoimmune thyroiditis,Hashimoto thyroiditis,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Hashimoto's disease,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Ord's thyroiditis,0,0
31,Autoimmune thyroiditis,Autoimmune thyroiditis,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Autoimmune thyroiditis,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Autoimmune thyroiditis,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Chronic lymphocytic thyroiditis,doid:0007188,autoimmune thyroiditis
31,Autoimmune thyroiditis,Hashimoto's thyroiditis,doid:0007188,autoimmune thyroiditis
32,Autoimmune urticaria,Autoimmune urticaria,0,0
32,Autoimmune urticaria,Chronic idiopathic urticaria,doid:0080749,chronic spontaneous urticaria
32,Autoimmune urticaria,Chronic urticaria,doid:0080747,chronic urticaria
32,Autoimmune urticaria,Physical urticaria,doid:0060220,physical urticaria
33,Autoimmune urticaria and/or angioedema,Autoimmune urticaria and/or angioedema,0,0
34,Autoimmune vasculitis,Autoimmune vasculitis,doid:0040097,autoimmune vasculitis
35,Balo concentric sclerosis,Balo concentric sclerosis,doid:0060215,Balo concentric sclerosis
35,Balo concentric sclerosis,Concentric sclerosis,0,0
35,Balo concentric sclerosis,Encephalitis periaxialis concentrica,doid:0010588,adrenoleukodystrophy
35,Balo concentric sclerosis,Leukoencephalitis periaxialis concentric,0,0
35,Balo concentric sclerosis,Tumefactive multiple sclerosis,doid:0060215,Balo concentric sclerosis
36,Behçet's syndrome,Behçet's syndrome,#N/A,#N/A
36,Behçet's syndrome,Behcet's syndrome,doid:0013241,Behcet's disease
36,Behçet's syndrome,Behçet's disease,#N/A,#N/A
36,Behçet's syndrome,Morbus Adamandiades-Behçet,#N/A,#N/A
36,Behçet's syndrome,Hughes Stovin syndrome,0,0
36,Behçet's syndrome,Hughes-Stovin syndrome,0,0
37,Benign mucous membrane pemphigoid,Benign mucous membrane pemphigoid,doid:0011656,cicatricial pemphigoid
37,Benign mucous membrane pemphigoid,Cicatricial pemphigoid,doid:0011656,cicatricial pemphigoid
37,Benign mucous membrane pemphigoid,Mucous membrane pemphigoid,0,0
37,Benign mucous membrane pemphigoid,Ocular pemphigoid,doid:0011656,cicatricial pemphigoid
37,Benign mucous membrane pemphigoid,Scarring pemphigoid,0,0
37,Benign mucous membrane pemphigoid,Ocular cicatricial pemphigoid,0,0
38,Bullous pemphigoid,Bullous pemphigoid,doid:0008506,bullous pemphigoid
38,Bullous pemphigoid,Bullous pemphigoid,doid:0008506,bullous pemphigoid
39,Cataplexy and narcolepsy,Cataplexy and narcolepsy,0,0
39,Cataplexy and narcolepsy,Narcolepsy type 1,0,0
40,Celiac disease,Adult form of celiac disease,0,0
40,Celiac disease,Celiac disease,doid:0010608,celiac disease
40,Celiac disease,Celiac sprue,doid:0010608,celiac disease
40,Celiac disease,Coeliac disease,doid:0010608,celiac disease
40,Celiac disease,Gluten-induced enteropathy,0,0
40,Celiac disease,Gluten-sensitive enteropathy,0,0
40,Celiac disease,Nontropical sprue,0,0
41,Chronic Fatigue Syndrome,Chronic Fatigue Syndrome,doid:0008544,chronic fatigue syndrome
41,Chronic Fatigue Syndrome,Myalgic encephalomyelitis,doid:0008544,chronic fatigue syndrome
41,Chronic Fatigue Syndrome,Systemic exertion intolerance disease,0,0
42,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyradiculoneuropathy,doid:0005213,chronic inflammatory demyelinating polyradiculoneuropathy
42,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyneuritis,doid:0002536,chronic inflammatory demyelinating polyneuritis
42,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyneuropathy,0,0
42,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic relapsing polyneuropathy,0,0
