Disease,Disease_mondo_reference,Disease_uberon_reference,Disease_cl_reference,Disease_doid_reference
Acquired epidermolysis bullosa,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,prefix='doid' identifier='4313' name='epidermolysis bullosa acquisita'
EBA,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,
Autoimmune epidermolysis bullosa,,,,
Epidermolysis bullosa acquisita,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,prefix='doid' identifier='4313' name='epidermolysis bullosa acquisita'
Acquired hemophilia,prefix='mondo' identifier='0019139' name='acquired hemophilia',,,
Acquired haemophilia,,,,
Acute hemorrhagic leukoencephalitis,prefix='mondo' identifier='0011716' name='acute hemorrhagic leukoencephalitis',,,prefix='doid' identifier='10992' name='acute hemorrhagic leukoencephalitis'
Hurst's disease,,,,
Weston-Hurst syndrome,prefix='mondo' identifier='0011716' name='acute hemorrhagic leukoencephalitis',,,prefix='doid' identifier='10992' name='acute hemorrhagic leukoencephalitis'
Acute disseminated encephalomyelitis,prefix='mondo' identifier='0019383' name='acute disseminated encephalomyelitis',,,prefix='doid' identifier='639' name='acute disseminated encephalomyelitis'
ADEM,prefix='mondo' identifier='0019383' name='acute disseminated encephalomyelitis',,,prefix='doid' identifier='639' name='acute disseminated encephalomyelitis'
Nonvasculitic autoimmune inflammatory meningoencephalitis,,,,
Acute febrile mucocutaneous lymph node syndrome,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Kawasaki syndrome,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,
Kawasaki's disease,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Lymph node syndrome,,,,
Mucocutaneous lymph node syndrome,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Acute lichenoid pityriasis,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
PLEVA,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
Acuta guttale parapsoriasis,,,,
Mucha-Habermann disease,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
Pityriasis lichenoides et varioliformis acuta,prefix='mondo' identifier='0024249' name='pityriasis lichenoides',,,
Addison's disease,prefix='mondo' identifier='0015128' name='primary adrenal insufficiency',,,"prefix='doid' identifier='13774' name=""Addison's disease"""
Autoimmune adrenalitis,prefix='mondo' identifier='0015129' name='chronic primary adrenal insufficiency',,,
Adrenal cortical hypofunction,prefix='mondo' identifier='0000004' name='adrenocortical insufficiency',,,prefix='doid' identifier='10493' name='adrenal cortical hypofunction'
Adrenal Insufficiency,prefix='mondo' identifier='0000004' name='adrenocortical insufficiency',,,
Primary adrenal insufficiency,prefix='mondo' identifier='0015128' name='primary adrenal insufficiency',,,
Adult onset Still's disease,prefix='mondo' identifier='0019355' name='adult-onset Still disease',,,"prefix='doid' identifier='14256' name=""adult-onset Still's disease"""
Adult Still's disease,prefix='mondo' identifier='0019355' name='adult-onset Still disease',,,
Age related macular degeneration,prefix='mondo' identifier='0005150' name='age-related macular degeneration',,,prefix='doid' identifier='10871' name='age related macular degeneration'
Alopecia Totalis,prefix='mondo' identifier='0019080' name='alopecia totalis',,,
Alopecia areata,prefix='mondo' identifier='0005340' name='alopecia areata',,,prefix='doid' identifier='986' name='alopecia areata'
Alopecia Universalis,prefix='mondo' identifier='0800198' name='alopecia universalis',,,prefix='doid' identifier='0050634' name='alopecia universalis'
Angiofollicular lymph node hyperplasia,prefix='mondo' identifier='0015564' name='Castleman disease',,,prefix='doid' identifier='0111157' name='Castleman disease'
Castleman Disease,prefix='mondo' identifier='0015564' name='Castleman disease',,,prefix='doid' identifier='0111157' name='Castleman disease'
Castleman's disease,prefix='mondo' identifier='0015564' name='Castleman disease',,,
Ankylosing spondylitis,prefix='mondo' identifier='0005306' name='ankylosing spondylitis',,,prefix='doid' identifier='7147' name='ankylosing spondylitis'
Axial spondyloarthritis,,,,
Spondyloarthritis,prefix='mondo' identifier='0005095' name='spondyloarthropathy',,,
Goodpasture syndrome,prefix='mondo' identifier='0009303' name='anti-glomerular basement membrane disease',,,prefix='doid' identifier='9808' name='Goodpasture syndrome'
Goodpasture disease,,,,
Anti-glomerular basement membrane nephritis,,,,
Anti-glomerular basement membrane tubulointerstitial nephritis,,,,
Anti-glomerular basement membrane disease,prefix='mondo' identifier='0009303' name='anti-glomerular basement membrane disease',,,prefix='doid' identifier='9808' name='Goodpasture syndrome'
Anti-GBM disease,,,,prefix='doid' identifier='9808' name='Goodpasture syndrome'
Goodpasture's disease,,,,
Goodpasture's syndrome,,,,
Churg-Strauss syndrome,prefix='mondo' identifier='0015943' name='eosinophilic granulomatosis with polyangiitis',,,prefix='doid' identifier='3049' name='Churg-Strauss syndrome'
Granulomatosis with polyangiitis,prefix='mondo' identifier='0012105' name='granulomatosis with polyangiitis',,,prefix='doid' identifier='12132' name='granulomatosis with polyangiitis'
Wegener's Granulomatosis,prefix='mondo' identifier='0012105' name='granulomatosis with polyangiitis',,,
Antineutrophil cytoplasmic antibody positive vasculitis,,,,
ANCA vasculitis,,,,
Eosinophilic granulomatosis with polyangiitis,prefix='mondo' identifier='0015943' name='eosinophilic granulomatosis with polyangiitis',,,
ANCA-associated vasculitis,prefix='mondo' identifier='0012105' name='granulomatosis with polyangiitis',,,
Anti-neutrophil cytoplasmic antibody-associated vasculitis,prefix='mondo' identifier='0015492' name='anti-neutrophil cytoplasmic antibody-associated vasculitis',,,
Churg Strauss syndrome,prefix='mondo' identifier='0015943' name='eosinophilic granulomatosis with polyangiitis',,,
Antiphospholipid syndrome,prefix='mondo' identifier='8000010' name='antiphospholipid syndrome',,,prefix='doid' identifier='2988' name='antiphospholipid syndrome'
aCL syndrome,,,,
Anticardiolipin antibody syndrome,,,,
Hughes syndrome,prefix='mondo' identifier='8000010' name='antiphospholipid syndrome',,,
Lupus anticoagulant syndrome,,,,
Antisynthetase syndrome,prefix='mondo' identifier='0019344' name='antisynthetase syndrome',,,prefix='doid' identifier='0080744' name='antisynthetase syndrome'
Anti-Jo1 syndrome,prefix='mondo' identifier='0019344' name='antisynthetase syndrome',,,
Aplastic anemia,prefix='mondo' identifier='0015909' name='aplastic anemia',,,prefix='doid' identifier='12449' name='aplastic anemia'
Autoimmune angioedema,,,,
Acquired angiodema,,,,
Autoimmune disease,prefix='mondo' identifier='0007179' name='autoimmune disease',,,prefix='doid' identifier='417' name='autoimmune disease'
Ménière's disease,prefix='mondo' identifier='0007972' name='Meniere disease',,,"prefix='doid' identifier='9849' name=""Meniere's disease"""
Autoimmune disorder of inner ear,,,,
Autoimmune encephalitis,prefix='mondo' identifier='0020640' name='autoimmune encephalitis',,,
Bickerstaff's brainstem encephalitis,,,,
Bickerstaff encephalitis,,,,
Bickerstaff's encephalitis,,,,
Limbic encephalitis with N-methyl-D-aspartate receptor antibodies,prefix='mondo' identifier='0021081' name='anti-NMDA receptor encephalitis',,,
Anti-NMDA receptor encephalitis,prefix='mondo' identifier='0021081' name='anti-NMDA receptor encephalitis',,,
Anti-N-methyl-D-aspartate receptor encephalitis,,,,
Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,,,,
Anti-NMDA Encephalitis,,,,
Macrocytic Anemia,prefix='mondo' identifier='0002281' name='macrocytic anemia',,,prefix='doid' identifier='2361' name='macrocytic anemia'
Megaloblastic Anemia,prefix='mondo' identifier='0001700' name='megaloblastic anemia',,,prefix='doid' identifier='13382' name='megaloblastic anemia'
Pernicious anemia,prefix='mondo' identifier='0008228' name='pernicious anemia',,,prefix='doid' identifier='13381' name='pernicious anemia'
Autoimmune gastritis,prefix='mondo' identifier='0031014' name='autoimmune gastritis',,,prefix='doid' identifier='0040090' name='autoimmune gastritis'
Atrophic gastritis,prefix='mondo' identifier='0006665' name='chronic atrophic gastritis',,,prefix='doid' identifier='8929' name='atrophic gastritis'
Autoimmune atrophic gastritis,,,,
Eosinophilic gastritis,prefix='mondo' identifier='0002840' name='eosinophilic gastritis',,,prefix='doid' identifier='4030' name='eosinophilic gastritis'
Autoimmune enteropathy,prefix='mondo' identifier='0019787' name='autoimmune enteropathy',,,
Autoimmune hemolytic anemia,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,prefix='doid' identifier='718' name='autoimmune hemolytic anemia'
Autoimmune hemolytic anemia mixed type,,,,
Autoimmune hepatitis,prefix='mondo' identifier='0016264' name='autoimmune hepatitis',,,prefix='doid' identifier='2048' name='autoimmune hepatitis'
Autoimmune hepatitis type 1,prefix='mondo' identifier='0005543' name='autoimmune hepatitis type 1',,,
Autoimmune hepatitis type 2,prefix='mondo' identifier='0021176' name='autoimmune hepatitis type 2',,,
Autoimmune hepatitis type 3,prefix='mondo' identifier='0021177' name='autoimmune hepatitis type 3',,,
Chronic autoimmune hepatitis,prefix='mondo' identifier='0016264' name='autoimmune hepatitis',,,
Autoimmune lymphoproliferative syndrome,prefix='mondo' identifier='0017979' name='autoimmune lymphoproliferative syndrome',,,prefix='doid' identifier='6688' name='autoimmune lymphoproliferative syndrome'
Canale-Smith syndrome,prefix='mondo' identifier='0011158' name='autoimmune lymphoproliferative syndrome type 1',,,prefix='doid' identifier='6688' name='autoimmune lymphoproliferative syndrome'
Autoimmune neutropenia,,,,
Primary autoimmune neutropenia,,,,
Autoimmune neutropenia of infancy,,,,
Autoimmune oophoritis,prefix='mondo' identifier='0021950' name='autoimmune oophoritis',,,
Premature ovarian failure due to autoimmune oophoritis,,,,
Autoimmune pancreatitis,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,prefix='doid' identifier='0040091' name='autoimmune pancreatitis'
Lymphoplasmocytic sclerosing pancreatitis,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,
Nonalcoholic destructive pancreatitis,,,,
Tumefactive pancreatitis,,,,
Autoimmune pancreatitis type 1,prefix='mondo' identifier='0017227' name='autoimmune pancreatitis type 1',,,
Autoimmune pancreatitis type 2,prefix='mondo' identifier='0017228' name='autoimmune pancreatitis type 2',,,
