Parent,Parent_curie,Parent_name,Parent_link
Acquired epidermolysis bullosa,DOID:0004313,epidermolysis bullosa acquisita,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_4313
Acquired hemophilia,,,
Acute disseminated encephalomyelitis,DOID:0000639,acute disseminated encephalomyelitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_639
Acute febrile mucocutaneous lymph node syndrome,DOID:0013378,Kawasaki disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13378
Acute lichenoid pityriasis,,,
Addison's disease,DOID:0013774,Addison's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13774
Adult onset Still's disease,DOID:0014256,adult-onset Still's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_14256
Age related macular degeneration,DOID:0010871,age related macular degeneration,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10871
Alopecia areata,DOID:0000986,alopecia areata,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_986
Angiofollicular lymph node hyperplasia,DOID:0111157,Castleman disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0111157
Ankylosing spondylitis,DOID:0007147,ankylosing spondylitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_7147
Anti-glomerular basement membrane disease,DOID:0009808,Goodpasture syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9808
Antineutrophil cytoplasmic antibody positive vasculitis,,,
Antiphospholipid syndrome,DOID:0002988,antiphospholipid syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2988
Antisynthetase syndrome,DOID:0080744,antisynthetase syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0080744
Aplastic anemia,DOID:0012449,aplastic anemia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12449
Autoimmune angioedema,,,
Autoimmune disease,DOID:0000417,autoimmune disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_417
Autoimmune disorder of inner ear,,,
Autoimmune encephalitis,,,
Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,,,
Autoimmune gastritis,DOID:0040090,autoimmune gastritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0040090
Autoimmune hemolytic anemia,DOID:0000718,autoimmune hemolytic anemia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_718
Autoimmune hepatitis,DOID:0002048,autoimmune hepatitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2048
Autoimmune lymphoproliferative syndrome,DOID:0006688,autoimmune lymphoproliferative syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_6688
Autoimmune neutropenia,,,
Autoimmune oophoritis,,,
Autoimmune pancreatitis,DOID:0040091,autoimmune pancreatitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0040091
Autoimmune progesterone dermatitis,,,
Autoimmune retinopathy,,,
Birdshot chorioretinopathy,DOID:0111079,birdshot chorioretinopathy,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0111079
Autoimmune thyroiditis,DOID:0007188,autoimmune thyroiditis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_7188
Autoimmune urticaria,,,
Autoimmune urticaria and/or angioedema,,,
Autoimmune vasculitis,DOID:0040097,autoimmune vasculitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0040097
Balo concentric sclerosis,DOID:0060215,Balo concentric sclerosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060215
Behçet's syndrome,DOID:0013241,Behcet's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13241
Benign mucous membrane pemphigoid,DOID:0011656,cicatricial pemphigoid,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_11656
Bullous pemphigoid,DOID:0008506,bullous pemphigoid,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8506
Cataplexy and narcolepsy,,,
Celiac disease,DOID:0010608,celiac disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10608
Chronic Fatigue Syndrome,DOID:0008544,chronic fatigue syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8544
Chronic inflammatory demyelinating polyradiculoneuropathy,DOID:0005213,chronic inflammatory demyelinating polyradiculoneuropathy,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_5213
