Parent,Parent_mondo_reference,Parent_uberon_reference,Parent_cl_reference,Parent_doid_reference
Acquired epidermolysis bullosa,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,prefix='doid' identifier='4313' name='epidermolysis bullosa acquisita'
Acquired hemophilia,prefix='mondo' identifier='0019139' name='acquired hemophilia',,,
Acute disseminated encephalomyelitis,prefix='mondo' identifier='0019383' name='acute disseminated encephalomyelitis',,,prefix='doid' identifier='639' name='acute disseminated encephalomyelitis'
Acute febrile mucocutaneous lymph node syndrome,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Acute lichenoid pityriasis,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
Addison's disease,prefix='mondo' identifier='0015128' name='primary adrenal insufficiency',,,"prefix='doid' identifier='13774' name=""Addison's disease"""
Adult onset Still's disease,prefix='mondo' identifier='0019355' name='adult-onset Still disease',,,"prefix='doid' identifier='14256' name=""adult-onset Still's disease"""
Age related macular degeneration,prefix='mondo' identifier='0005150' name='age-related macular degeneration',,,prefix='doid' identifier='10871' name='age related macular degeneration'
Alopecia areata,prefix='mondo' identifier='0005340' name='alopecia areata',,,prefix='doid' identifier='986' name='alopecia areata'
Angiofollicular lymph node hyperplasia,prefix='mondo' identifier='0015564' name='Castleman disease',,,prefix='doid' identifier='0111157' name='Castleman disease'
Ankylosing spondylitis,prefix='mondo' identifier='0005306' name='ankylosing spondylitis',,,prefix='doid' identifier='7147' name='ankylosing spondylitis'
Anti-glomerular basement membrane disease,prefix='mondo' identifier='0009303' name='anti-glomerular basement membrane disease',,,prefix='doid' identifier='9808' name='Goodpasture syndrome'
Antineutrophil cytoplasmic antibody positive vasculitis,,,,
Antiphospholipid syndrome,prefix='mondo' identifier='8000010' name='antiphospholipid syndrome',,,prefix='doid' identifier='2988' name='antiphospholipid syndrome'
Antisynthetase syndrome,prefix='mondo' identifier='0019344' name='antisynthetase syndrome',,,prefix='doid' identifier='0080744' name='antisynthetase syndrome'
Aplastic anemia,prefix='mondo' identifier='0015909' name='aplastic anemia',,,prefix='doid' identifier='12449' name='aplastic anemia'
Autoimmune angioedema,,,,
Autoimmune disease,prefix='mondo' identifier='0007179' name='autoimmune disease',,,prefix='doid' identifier='417' name='autoimmune disease'
Autoimmune disorder of inner ear,,,,
Autoimmune encephalitis,prefix='mondo' identifier='0020640' name='autoimmune encephalitis',,,
Autoimmune encephalitis caused by N-methyl D-aspartate receptor antibody,,,,
Autoimmune gastritis,prefix='mondo' identifier='0031014' name='autoimmune gastritis',,,prefix='doid' identifier='0040090' name='autoimmune gastritis'
Autoimmune hemolytic anemia,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,prefix='doid' identifier='718' name='autoimmune hemolytic anemia'
Autoimmune hepatitis,prefix='mondo' identifier='0016264' name='autoimmune hepatitis',,,prefix='doid' identifier='2048' name='autoimmune hepatitis'
Autoimmune lymphoproliferative syndrome,prefix='mondo' identifier='0017979' name='autoimmune lymphoproliferative syndrome',,,prefix='doid' identifier='6688' name='autoimmune lymphoproliferative syndrome'
Autoimmune neutropenia,,,,
Autoimmune oophoritis,prefix='mondo' identifier='0021950' name='autoimmune oophoritis',,,
Autoimmune pancreatitis,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,prefix='doid' identifier='0040091' name='autoimmune pancreatitis'
Autoimmune progesterone dermatitis,prefix='mondo' identifier='0021952' name='progestogen hypersensitivity',,,
Autoimmune retinopathy,prefix='mondo' identifier='0100014' name='autoimmune retinopathy',,,
Birdshot chorioretinopathy,prefix='mondo' identifier='0011599' name='birdshot chorioretinopathy',,,prefix='doid' identifier='0111079' name='birdshot chorioretinopathy'
Autoimmune thyroiditis,prefix='mondo' identifier='0005623' name='autoimmune thyroid disease',,,prefix='doid' identifier='7188' name='autoimmune thyroiditis'
Autoimmune urticaria,prefix='mondo' identifier='0025513' name='autoimmune urticaria',,,
Autoimmune urticaria and/or angioedema,,,,
Autoimmune vasculitis,prefix='mondo' identifier='0030703' name='autoimmune vasculitis',,,prefix='doid' identifier='0040097' name='autoimmune vasculitis'
Balo concentric sclerosis,prefix='mondo' identifier='0016430' name='Balo concentric sclerosis',,,prefix='doid' identifier='0060215' name='Balo concentric sclerosis'
Behçet's syndrome,prefix='mondo' identifier='0007191' name='Behcet disease',,,"prefix='doid' identifier='13241' name=""Behcet's disease"""
Benign mucous membrane pemphigoid,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
Bullous pemphigoid,prefix='mondo' identifier='0019082' name='bullous pemphigoid',,,prefix='doid' identifier='8506' name='bullous pemphigoid'
Cataplexy and narcolepsy,,,,
Celiac disease,prefix='mondo' identifier='0005130' name='celiac disease',,,prefix='doid' identifier='10608' name='celiac disease'
