disease,dbxref
http://purl.obolibrary.org/obo/DOID_0111088,MIM:603467
http://purl.obolibrary.org/obo/DOID_0070008,MIM:617253
http://purl.obolibrary.org/obo/DOID_5731,NCI:C40118
http://purl.obolibrary.org/obo/DOID_5731,UMLS_CUI:C0269041
http://purl.obolibrary.org/obo/DOID_5731,SNOMEDCT_US_2023_03_01:55551005
http://purl.obolibrary.org/obo/DOID_5731,ICD10CM:N70.11
http://purl.obolibrary.org/obo/DOID_3247,ICDO:8900/3
http://purl.obolibrary.org/obo/DOID_3247,SNOMEDCT_US_2023_03_01:302847003
http://purl.obolibrary.org/obo/DOID_3247,MESH:D012208
http://purl.obolibrary.org/obo/DOID_3247,UMLS_CUI:C0035412
http://purl.obolibrary.org/obo/DOID_3247,NCI:C3359
http://purl.obolibrary.org/obo/DOID_1443,GARD:6019
http://purl.obolibrary.org/obo/DOID_1443,ICD9CM:331.9
http://purl.obolibrary.org/obo/DOID_1443,UMLS_CUI:C0154671
http://purl.obolibrary.org/obo/DOID_1443,SNOMEDCT_US_2023_03_01:52522001
http://purl.obolibrary.org/obo/DOID_5684,MIM:271510
http://purl.obolibrary.org/obo/DOID_5684,UMLS_CUI:C0920349
http://purl.obolibrary.org/obo/DOID_5684,NCI:C92206
http://purl.obolibrary.org/obo/DOID_7088,UMLS_CUI:C1333120
http://purl.obolibrary.org/obo/DOID_7088,NCI:C35830
http://purl.obolibrary.org/obo/DOID_7088,ICDO:8344/3
http://purl.obolibrary.org/obo/DOID_0060290,MESH:C536717
http://purl.obolibrary.org/obo/DOID_0060290,ORDO:3047
http://purl.obolibrary.org/obo/DOID_0060290,MIM:603736
http://purl.obolibrary.org/obo/DOID_0060290,SNOMEDCT_US_2023_03_01:699298009
http://purl.obolibrary.org/obo/DOID_0060290,UMLS_CUI:C1863557
http://purl.obolibrary.org/obo/DOID_0080975,MIM:618734
http://purl.obolibrary.org/obo/DOID_14181,SNOMEDCT_US_2023_03_01:239957000
http://purl.obolibrary.org/obo/DOID_14181,UMLS_CUI:C0158303
http://purl.obolibrary.org/obo/DOID_14181,ICD10CM:M75.3
http://purl.obolibrary.org/obo/DOID_14181,ICD9CM:726.11
http://purl.obolibrary.org/obo/DOID_13036,ICD10CM:A68.1
http://purl.obolibrary.org/obo/DOID_13036,SNOMEDCT_US_2023_03_01:10301003
http://purl.obolibrary.org/obo/DOID_13036,NCI:C34976
http://purl.obolibrary.org/obo/DOID_13036,UMLS_CUI:C0035022
http://purl.obolibrary.org/obo/DOID_13036,ICD9CM:087.1
http://purl.obolibrary.org/obo/DOID_0050332,GARD:8651
http://purl.obolibrary.org/obo/DOID_0110322,MIM:613838
http://purl.obolibrary.org/obo/DOID_0111253,ICD10CM:Q85.01
http://purl.obolibrary.org/obo/DOID_0111253,UMLS_CUI:C0027831
http://purl.obolibrary.org/obo/DOID_0111253,MESH:D009456
http://purl.obolibrary.org/obo/DOID_0111253,NCI:C3273
http://purl.obolibrary.org/obo/DOID_0111253,ORDO:636
http://purl.obolibrary.org/obo/DOID_0111253,SNOMEDCT_US_2023_03_01:92824003
http://purl.obolibrary.org/obo/DOID_0111253,ICD9CM:237.71
http://purl.obolibrary.org/obo/DOID_0111253,MIM:162200
http://purl.obolibrary.org/obo/DOID_0051030,MIM:621060
http://purl.obolibrary.org/obo/DOID_0111049,NCI:C84741
http://purl.obolibrary.org/obo/DOID_0111049,UMLS_CUI:C0272302
http://purl.obolibrary.org/obo/DOID_0111049,SNOMEDCT_US_2023_03_01:51720005
http://purl.obolibrary.org/obo/DOID_0111049,ICD10CM:D69.1
http://purl.obolibrary.org/obo/DOID_0111049,MESH:D055652
http://purl.obolibrary.org/obo/DOID_0111049,MIM:187900
http://purl.obolibrary.org/obo/DOID_0111020,MIM:612775
http://purl.obolibrary.org/obo/DOID_0060315,ICD10CM:K13.3
http://purl.obolibrary.org/obo/DOID_0060315,MESH:D017733
http://purl.obolibrary.org/obo/DOID_0060315,NCI:C3722
http://purl.obolibrary.org/obo/DOID_0060315,SNOMEDCT_US_2023_03_01:58918007
http://purl.obolibrary.org/obo/DOID_0060315,UMLS_CUI:C0206186
http://purl.obolibrary.org/obo/DOID_3012,SNOMEDCT_US_2023_03_01:428850001
http://purl.obolibrary.org/obo/DOID_3012,UMLS_CUI:C0085390
http://purl.obolibrary.org/obo/DOID_3012,MESH:D016864
http://purl.obolibrary.org/obo/DOID_3012,GARD:6902
http://purl.obolibrary.org/obo/DOID_3012,MIM:PS151623
http://purl.obolibrary.org/obo/DOID_3012,NCI:C3476
http://purl.obolibrary.org/obo/DOID_3012,ORDO:524
http://purl.obolibrary.org/obo/DOID_5304,NCI:C40078
http://purl.obolibrary.org/obo/DOID_5304,UMLS_CUI:C1518693
http://purl.obolibrary.org/obo/DOID_5304,SNOMEDCT_US_2023_03_01:763131005
http://purl.obolibrary.org/obo/DOID_9091,SNOMEDCT_US_2023_03_01:415238003
http://purl.obolibrary.org/obo/DOID_9091,ICD10CM:G47.52
http://purl.obolibrary.org/obo/DOID_9091,ICD9CM:327.42
http://purl.obolibrary.org/obo/DOID_9091,MESH:D020187
http://purl.obolibrary.org/obo/DOID_9091,UMLS_CUI:C0751772
http://purl.obolibrary.org/obo/DOID_7013,NCI:C40041
http://purl.obolibrary.org/obo/DOID_7013,UMLS_CUI:C1518725
http://purl.obolibrary.org/obo/DOID_6811,MESH:D001254
http://purl.obolibrary.org/obo/DOID_6811,UMLS_CUI:C0280783
http://purl.obolibrary.org/obo/DOID_6811,NCI:C27081
http://purl.obolibrary.org/obo/DOID_0061129,MIM:618089
http://purl.obolibrary.org/obo/DOID_1793,SNOMEDCT_US_2023_03_01:93715005
http://purl.obolibrary.org/obo/DOID_1793,ORDO:1333
http://purl.obolibrary.org/obo/DOID_1793,UMLS_CUI:C0153463
http://purl.obolibrary.org/obo/DOID_1793,NCI:C3305
http://purl.obolibrary.org/obo/DOID_1793,SNOMEDCT_US_2023_03_01:126859007
http://purl.obolibrary.org/obo/DOID_1793,ICD10CM:C25.0
http://purl.obolibrary.org/obo/DOID_1793,GARD:9364
http://purl.obolibrary.org/obo/DOID_1793,UMLS_CUI:C0153460
http://purl.obolibrary.org/obo/DOID_1793,UMLS_CUI:C0153458
http://purl.obolibrary.org/obo/DOID_1793,ICD9CM:157.2
http://purl.obolibrary.org/obo/DOID_1793,SNOMEDCT_US_2023_03_01:93823001
http://purl.obolibrary.org/obo/DOID_1793,KEGG:05212
http://purl.obolibrary.org/obo/DOID_1793,SNOMEDCT_US_2023_03_01:187796007
http://purl.obolibrary.org/obo/DOID_1793,ICD10CM:C25.2
http://purl.obolibrary.org/obo/DOID_1793,ICD9CM:157.1
http://purl.obolibrary.org/obo/DOID_1793,ICD10CM:C25.1
http://purl.obolibrary.org/obo/DOID_1793,ICD9CM:157.8
http://purl.obolibrary.org/obo/DOID_1793,ICD9CM:157.0
http://purl.obolibrary.org/obo/DOID_1793,UMLS_CUI:C0153459
http://purl.obolibrary.org/obo/DOID_1793,UMLS_CUI:C0030297
http://purl.obolibrary.org/obo/DOID_1793,ORDO:217074
http://purl.obolibrary.org/obo/DOID_1793,SNOMEDCT_US_2023_03_01:94082003
http://purl.obolibrary.org/obo/DOID_1793,MESH:D010190
http://purl.obolibrary.org/obo/DOID_0110916,MIM:182900
http://purl.obolibrary.org/obo/DOID_10192,SNOMEDCT_US_2023_03_01:189783001
http://purl.obolibrary.org/obo/DOID_10192,NCI:C3703
http://purl.obolibrary.org/obo/DOID_10192,ICDO:8854/0
http://purl.obolibrary.org/obo/DOID_10192,MESH:D008067
http://purl.obolibrary.org/obo/DOID_10192,UMLS_CUI:C0205823
http://purl.obolibrary.org/obo/DOID_0110363,MIM:616394
http://purl.obolibrary.org/obo/DOID_0110363,ICD10CM:H35.5
http://purl.obolibrary.org/obo/DOID_0111294,MIM:604403
http://purl.obolibrary.org/obo/DOID_0111870,MIM:618546
http://purl.obolibrary.org/obo/DOID_0060196,ICD10CM:G12.2
http://purl.obolibrary.org/obo/DOID_0060196,GARD:10502
http://purl.obolibrary.org/obo/DOID_0060196,MIM:602433
http://purl.obolibrary.org/obo/DOID_0060196,ORDO:357043
http://purl.obolibrary.org/obo/DOID_10201,NCI:C5835
http://purl.obolibrary.org/obo/DOID_10201,UMLS_CUI:C1333747
http://purl.obolibrary.org/obo/DOID_13386,SNOMEDCT_US_2023_03_01:186302005
http://purl.obolibrary.org/obo/DOID_13386,ICD10CM:A22.2
http://purl.obolibrary.org/obo/DOID_13386,UMLS_CUI:C0152945
http://purl.obolibrary.org/obo/DOID_13386,MESH:C571911
http://purl.obolibrary.org/obo/DOID_13386,ICD9CM:022.2
http://purl.obolibrary.org/obo/DOID_0060937,MIM:619291
http://purl.obolibrary.org/obo/DOID_4724,MESH:D001929
http://purl.obolibrary.org/obo/DOID_4724,SNOMEDCT_US_2023_03_01:85974009
http://purl.obolibrary.org/obo/DOID_4724,UMLS_CUI:C1527311
http://purl.obolibrary.org/obo/DOID_13628,NCI:C34607
http://purl.obolibrary.org/obo/DOID_13628,MESH:D005236
http://purl.obolibrary.org/obo/DOID_13628,SNOMEDCT_US_2023_03_01:154801000
http://purl.obolibrary.org/obo/DOID_13628,ICD10CM:D55.0
http://purl.obolibrary.org/obo/DOID_13628,UMLS_CUI:C0015702
http://purl.obolibrary.org/obo/DOID_4364,NCI:C8410
http://purl.obolibrary.org/obo/DOID_4364,SNOMEDCT_US_2023_03_01:188050009
http://purl.obolibrary.org/obo/DOID_4364,UMLS_CUI:C0346787
http://purl.obolibrary.org/obo/DOID_0060704,ORDO:538963
http://purl.obolibrary.org/obo/DOID_0060704,MIM:PS308240
http://purl.obolibrary.org/obo/DOID_0070399,MIM:618404
http://purl.obolibrary.org/obo/DOID_0111370,MESH:C566270
http://purl.obolibrary.org/obo/DOID_0111370,MIM:614028
http://purl.obolibrary.org/obo/DOID_0110105,MIM:613519
http://purl.obolibrary.org/obo/DOID_3362,NCI:C168176
http://purl.obolibrary.org/obo/DOID_3362,UMLS_CUI:C0010051
http://purl.obolibrary.org/obo/DOID_3362,ICD10CM:I25.41
http://purl.obolibrary.org/obo/DOID_3362,ICD9CM:414.11
http://purl.obolibrary.org/obo/DOID_3362,SNOMEDCT_US_2023_03_01:50570003
http://purl.obolibrary.org/obo/DOID_3362,MESH:D003323
http://purl.obolibrary.org/obo/DOID_3362,GARD:6200
http://purl.obolibrary.org/obo/DOID_0050995,MIM:611907
http://purl.obolibrary.org/obo/DOID_11239,SNOMEDCT_US_2023_03_01:93679002
http://purl.obolibrary.org/obo/DOID_11239,ICD10CM:C18.1
http://purl.obolibrary.org/obo/DOID_11239,NCI:C9333
http://purl.obolibrary.org/obo/DOID_11239,ICD9CM:153.5
http://purl.obolibrary.org/obo/DOID_11239,MESH:D001063
http://purl.obolibrary.org/obo/DOID_11239,UMLS_CUI:C0496779
http://purl.obolibrary.org/obo/DOID_0110058,ICD10CM:K00.5
http://purl.obolibrary.org/obo/DOID_0110058,MIM:301200
http://purl.obolibrary.org/obo/DOID_2217,ORDO:274
http://purl.obolibrary.org/obo/DOID_2217,SNOMEDCT_US_2023_03_01:54569005
http://purl.obolibrary.org/obo/DOID_2217,MIM:231200
http://purl.obolibrary.org/obo/DOID_2217,NCI:C84595
http://purl.obolibrary.org/obo/DOID_2217,MESH:D001606
http://purl.obolibrary.org/obo/DOID_2217,UMLS_CUI:C0005129
http://purl.obolibrary.org/obo/DOID_0110481,ICD10CM:H90.3
http://purl.obolibrary.org/obo/DOID_0110481,MIM:609533
http://purl.obolibrary.org/obo/DOID_0080482,MIM:614872
http://purl.obolibrary.org/obo/DOID_0070436,MIM:615716
http://purl.obolibrary.org/obo/DOID_0060978,MIM:617784
http://purl.obolibrary.org/obo/SYMP_0000465,UMLS_ICD9CM_2005_AUI:A0700791
http://purl.obolibrary.org/obo/SYMP_0000465,UMLS_CUI:C0015544
http://purl.obolibrary.org/obo/SYMP_0000465,ICD9CM_2005:783.41
http://purl.obolibrary.org/obo/DOID_12239,ICD10CM:C44.520
http://purl.obolibrary.org/obo/DOID_12239,SNOMEDCT_US_2023_03_01:255084004
http://purl.obolibrary.org/obo/DOID_12239,NCI:C6925
http://purl.obolibrary.org/obo/DOID_12239,UMLS_CUI:C1412037
http://purl.obolibrary.org/obo/DOID_0070164,MIM:108420
http://purl.obolibrary.org/obo/DOID_0081349,MIM:618975
http://purl.obolibrary.org/obo/DOID_5804,UMLS_CUI:C0012628
http://purl.obolibrary.org/obo/DOID_5804,MESH:D021922
http://purl.obolibrary.org/obo/DOID_3911,NCI:C34951
http://purl.obolibrary.org/obo/DOID_3911,MESH:D011371
http://purl.obolibrary.org/obo/DOID_3911,SNOMEDCT_US_2023_03_01:190590004
http://purl.obolibrary.org/obo/DOID_3911,ICD10CM:E34.8
http://purl.obolibrary.org/obo/DOID_3911,UMLS_CUI:C0033300
http://purl.obolibrary.org/obo/DOID_3911,GARD:7467
http://purl.obolibrary.org/obo/DOID_3911,ORDO:740
http://purl.obolibrary.org/obo/DOID_3911,MIM:176670
http://purl.obolibrary.org/obo/DOID_3911,MEDDRA:10036794
http://purl.obolibrary.org/obo/DOID_5772,UMLS_CUI:C1332882
http://purl.obolibrary.org/obo/DOID_5772,NCI:C5503
http://purl.obolibrary.org/obo/DOID_3864,UMLS_CUI:C0278876
http://purl.obolibrary.org/obo/DOID_3864,NCI:C4011
http://purl.obolibrary.org/obo/DOID_3864,MESH:D008527
http://purl.obolibrary.org/obo/DOID_0110294,ORDO:363623
http://purl.obolibrary.org/obo/DOID_0110294,MIM:615352
http://purl.obolibrary.org/obo/DOID_0110294,ICD10CM:G71.0
http://purl.obolibrary.org/obo/DOID_0080859,MIM:300604
http://purl.obolibrary.org/obo/DOID_7841,NCI:C115203
http://purl.obolibrary.org/obo/DOID_0111137,MIM:612526
http://purl.obolibrary.org/obo/DOID_0111137,ICD10CM:E88.1
http://purl.obolibrary.org/obo/DOID_1749,UMLS_CUI:C0751688
http://purl.obolibrary.org/obo/DOID_1749,SNOMEDCT_US_2023_03_01:1255006006
http://purl.obolibrary.org/obo/DOID_1749,MESH:D018307
http://purl.obolibrary.org/obo/DOID_1749,UMLS_CUI:C0007137
http://purl.obolibrary.org/obo/DOID_1749,EFO:0000707
http://purl.obolibrary.org/obo/DOID_1749,ICDO:8070/3
http://purl.obolibrary.org/obo/DOID_1749,NCI:C2929
http://purl.obolibrary.org/obo/DOID_1749,MESH:D002294
http://purl.obolibrary.org/obo/DOID_1749,SNOMEDCT_US_2023_03_01:154605007
http://purl.obolibrary.org/obo/DOID_1749,GARD:1091
http://purl.obolibrary.org/obo/DOID_3606,NCI:C5243
http://purl.obolibrary.org/obo/DOID_3606,UMLS_CUI:C1335167
http://purl.obolibrary.org/obo/DOID_0090013,MESH:C563311
http://purl.obolibrary.org/obo/DOID_0090013,ICD10CM:D81.1
http://purl.obolibrary.org/obo/DOID_0090013,ORDO:331206
http://purl.obolibrary.org/obo/DOID_0090013,MIM:601457
http://purl.obolibrary.org/obo/DOID_8409,NCI:C36094
http://purl.obolibrary.org/obo/DOID_8409,UMLS_CUI:C1333370
http://purl.obolibrary.org/obo/DOID_4136,NCI:C3255
http://purl.obolibrary.org/obo/DOID_4136,UMLS_CUI:C0027155
http://purl.obolibrary.org/obo/DOID_4136,MESH:D009236
http://purl.obolibrary.org/obo/DOID_4136,ICDO:8840/3
http://purl.obolibrary.org/obo/DOID_4136,SNOMEDCT_US_2023_03_01:28351005
http://purl.obolibrary.org/obo/DOID_5850,UMLS_CUI:C0340305
http://purl.obolibrary.org/obo/DOID_5850,SNOMEDCT_US_2023_03_01:194804002
http://purl.obolibrary.org/obo/DOID_5850,MESH:D056989
http://purl.obolibrary.org/obo/DOID_0111759,MIM:400043
http://purl.obolibrary.org/obo/DOID_0070095,MESH:C537729
http://purl.obolibrary.org/obo/DOID_0070095,MIM:606952
http://purl.obolibrary.org/obo/DOID_0110886,MESH:C563926
http://purl.obolibrary.org/obo/DOID_0110886,MIM:608448
http://purl.obolibrary.org/obo/DOID_0110077,MIM:609040
http://purl.obolibrary.org/obo/DOID_0110077,ICD10CM:I42.8
http://purl.obolibrary.org/obo/DOID_12397,SNOMEDCT_US_2023_03_01:246821008
http://purl.obolibrary.org/obo/DOID_12397,UMLS_CUI:C0014390
http://purl.obolibrary.org/obo/DOID_12397,MESH:D004774
http://purl.obolibrary.org/obo/DOID_12397,ICD9CM:374.00
http://purl.obolibrary.org/obo/DOID_10242,SNOMEDCT_US_2023_03_01:77361002
http://purl.obolibrary.org/obo/DOID_10242,GARD:2092
http://purl.obolibrary.org/obo/DOID_10242,MESH:D016873
http://purl.obolibrary.org/obo/DOID_10242,ICD9CM:082.4
http://purl.obolibrary.org/obo/DOID_10242,UMLS_CUI:C0085399
http://purl.obolibrary.org/obo/DOID_10242,ICD10CM:A77.4
http://purl.obolibrary.org/obo/DOID_0050428,UMLS_CUI:C1833030
http://purl.obolibrary.org/obo/DOID_0050428,MESH:C563422
http://purl.obolibrary.org/obo/DOID_5510,UMLS_CUI:C1335415
http://purl.obolibrary.org/obo/DOID_5510,NCI:C7169
http://purl.obolibrary.org/obo/DOID_0110418,ICD10CM:H35.5
http://purl.obolibrary.org/obo/DOID_0110418,MIM:400004
http://purl.obolibrary.org/obo/DOID_0090054,ICD10CM:G24.8
http://purl.obolibrary.org/obo/DOID_0090054,ORDO:98809
http://purl.obolibrary.org/obo/DOID_0090054,MIM:611031
http://purl.obolibrary.org/obo/DOID_0090054,MESH:C567026
http://purl.obolibrary.org/obo/DOID_7577,UMLS_CUI:C1335303
http://purl.obolibrary.org/obo/DOID_7577,NCI:C37256
http://purl.obolibrary.org/obo/DOID_758,MESH:D012857
http://purl.obolibrary.org/obo/DOID_758,ICD10CM:Q89.3
http://purl.obolibrary.org/obo/DOID_758,GARD:4883
http://purl.obolibrary.org/obo/DOID_758,NCI:C87121
http://purl.obolibrary.org/obo/DOID_758,ICD9CM:759.3
http://purl.obolibrary.org/obo/DOID_758,SNOMEDCT_US_2023_03_01:157033002
http://purl.obolibrary.org/obo/DOID_758,MIM:270100
http://purl.obolibrary.org/obo/DOID_758,UMLS_CUI:C0037221
http://purl.obolibrary.org/obo/DOID_0080437,MIM:616346
http://purl.obolibrary.org/obo/DOID_0110146,MIM:613090
http://purl.obolibrary.org/obo/DOID_0110146,ICD10CM:E26.8
http://purl.obolibrary.org/obo/DOID_0080570,ORDO:319646
http://purl.obolibrary.org/obo/DOID_0080570,MIM:614921
http://purl.obolibrary.org/obo/DOID_0070524,MIM:617115
http://purl.obolibrary.org/obo/DOID_0050469,UMLS_CUI:C0587248
http://purl.obolibrary.org/obo/DOID_0050469,GARD:1550
http://purl.obolibrary.org/obo/DOID_0050469,MIM:218040
http://purl.obolibrary.org/obo/DOID_0050469,NCI:C84652
http://purl.obolibrary.org/obo/DOID_0050469,MESH:D056685
http://purl.obolibrary.org/obo/DOID_0050469,SNOMEDCT_US_2023_03_01:205803001
http://purl.obolibrary.org/obo/DOID_0070477,MIM:616901
http://purl.obolibrary.org/obo/DOID_0110459,MIM:613286
http://purl.obolibrary.org/obo/DOID_0110459,ICD10CM:I42.0
http://purl.obolibrary.org/obo/DOID_0080290,MIM:617907
http://purl.obolibrary.org/obo/DOID_0050817,MESH:D000080362
http://purl.obolibrary.org/obo/DOID_0050817,MIM:PS248200
http://purl.obolibrary.org/obo/DOID_0050817,GARD:181
http://purl.obolibrary.org/obo/DOID_7030,NCI:C5664
http://purl.obolibrary.org/obo/DOID_7030,UMLS_CUI:C1332640
http://purl.obolibrary.org/obo/DOID_7030,SNOMEDCT_US_2023_03_01:838297005
http://purl.obolibrary.org/obo/DOID_0061189,MIM:619173
http://purl.obolibrary.org/obo/DOID_6459,UMLS_CUI:C1335684
http://purl.obolibrary.org/obo/DOID_6459,NCI:C5551
http://purl.obolibrary.org/obo/DOID_876,UMLS_CUI:C0041188
http://purl.obolibrary.org/obo/DOID_876,GARD:4614
