disease,dbxref
http://purl.obolibrary.org/obo/DOID_0060234,UMLS_CUI:C1275078
http://purl.obolibrary.org/obo/DOID_0040097,UMLS_CUI:C1328843
http://purl.obolibrary.org/obo/DOID_0050214,UMLS_CUI:C0022972
http://purl.obolibrary.org/obo/DOID_0080850,UMLS_CUI:C0263313
http://purl.obolibrary.org/obo/DOID_0040091,UMLS_CUI:C2609129
http://purl.obolibrary.org/obo/DOID_0060215,UMLS_CUI:C0007795
http://purl.obolibrary.org/obo/DOID_0060218,UMLS_CUI:C0206138
http://purl.obolibrary.org/obo/DOID_0060218,UMLS_CUI:C1527226
http://purl.obolibrary.org/obo/DOID_0060284,UMLS_CUI:C0086774
http://purl.obolibrary.org/obo/DOID_0060284,UMLS_CUI:C0024790
http://purl.obolibrary.org/obo/DOID_0060284,UMLS_CUI:C0019050
http://purl.obolibrary.org/obo/DOID_0111157,UMLS_CUI:C0017531
http://purl.obolibrary.org/obo/DOID_0111157,UMLS_CUI:C2931179
http://purl.obolibrary.org/obo/DOID_0050425,UMLS_CUI:C0035258
http://purl.obolibrary.org/obo/DOID_0111079,UMLS_CUI:C1853959
http://purl.obolibrary.org/obo/DOID_0060192,UMLS_CUI:C0156147
http://purl.obolibrary.org/obo/DOID_0050589,UMLS_CUI:C0021390
http://purl.obolibrary.org/obo/DOID_0050156,UMLS_CUI:C1800706
http://purl.obolibrary.org/obo/DOID_0060643,UMLS_CUI:C0566602
http://purl.obolibrary.org/obo/DOID_0050784,UMLS_CUI:C0751964
http://purl.obolibrary.org/obo/DOID_0060216,UMLS_CUI:C0271270
http://purl.obolibrary.org/obo/DOID_0060851,UMLS_CUI:C0030809
http://purl.obolibrary.org/obo/DOID_0050157,UMLS_CUI:C0242770
http://purl.obolibrary.org/obo/DOID_0060182,UMLS_CUI:C0400821
