disease,dbxref
http://purl.obolibrary.org/obo/UBERON_0003945,EMAPA:37953
http://purl.obolibrary.org/obo/UBERON_0001385,UMLS:C1710423
http://purl.obolibrary.org/obo/UBERON_0001385,BTO:0001382
http://purl.obolibrary.org/obo/UBERON_0001385,NCIT:C53079
http://purl.obolibrary.org/obo/UBERON_0001385,SCTID:181696007
http://purl.obolibrary.org/obo/UBERON_0001385,FMA:22532
http://purl.obolibrary.org/obo/UBERON_0001385,MA:0002395
http://purl.obolibrary.org/obo/UBERON_0001385,Wikipedia:Tibialis_anterior_muscle
http://purl.obolibrary.org/obo/UBERON_0001385,EFO:0001385
http://purl.obolibrary.org/obo/UBERON_0001385,EMAPA:35866
http://purl.obolibrary.org/obo/UBERON_0001385,galen:TibialisAnterior
http://purl.obolibrary.org/obo/UBERON_0007288,EFO:0003463
http://purl.obolibrary.org/obo/UBERON_0007288,ZFA:0001368
http://purl.obolibrary.org/obo/UBERON_0007288,TAO:0001368
http://purl.obolibrary.org/obo/UBERON_2000484,ZFA:0000484
http://purl.obolibrary.org/obo/UBERON_0001987,Wikipedia:Placenta
http://purl.obolibrary.org/obo/UBERON_0001987,NCIT:C13272
http://purl.obolibrary.org/obo/UBERON_0001987,MAT:0000279
http://purl.obolibrary.org/obo/UBERON_0001987,VHOG:0001266
http://purl.obolibrary.org/obo/UBERON_0001987,UMLS:C0032043
http://purl.obolibrary.org/obo/UBERON_0001987,EV:0100119
http://purl.obolibrary.org/obo/UBERON_0001987,MA:0000386
http://purl.obolibrary.org/obo/UBERON_0001987,SCTID:181455002
http://purl.obolibrary.org/obo/UBERON_0001987,BTO:0001078
http://purl.obolibrary.org/obo/UBERON_0001987,MIAA:0000279
http://purl.obolibrary.org/obo/UBERON_0001987,MESH:D010920
http://purl.obolibrary.org/obo/UBERON_0001987,FMA:63934
http://purl.obolibrary.org/obo/UBERON_0001987,GAID:379
http://purl.obolibrary.org/obo/UBERON_0001987,CALOHA:TS-0799
http://purl.obolibrary.org/obo/UBERON_0001987,EFO:0001407
http://purl.obolibrary.org/obo/UBERON_0001987,EMAPA:35689
http://purl.obolibrary.org/obo/UBERON_0006276,RETIRED_EHDAA2:0001444
http://purl.obolibrary.org/obo/UBERON_0006276,EMAPA:17167
http://purl.obolibrary.org/obo/UBERON_0006276,EHDAA:4751
